"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia VICTOR FAJARDO (000)",25412,25015,256,141
"Hombres (001)",12316,12157,86,73
"Mujeres (002)",13096,12858,170,68
"Menores de 1 año (003)",459,383,45,31
"Hombres (004)",234,196,18,20
"Mujeres (005)",225,187,27,11
"De 1 a 5 años (006)",2615,2413,100,102
"Hombres (007)",1347,1245,50,52
"Mujeres (008)",1268,1168,50,50
"De 6 a 14 años (009)",5315,5301,13,1
"Hombres (010)",2674,2667,6,1
"Mujeres (011)",2641,2634,7,
"De 15 a 29 años (012)",5316,5314,2,
"Hombres (013)",2680,2680,,
"Mujeres (014)",2636,2634,2,
"De 30 a 44 años (015)",4446,4440,4,2
"Hombres (016)",2241,2241,,
"Mujeres (017)",2205,2199,4,2
"De 45 a 64 años (018)",4156,4143,13,
"Hombres (019)",1839,1838,1,
"Mujeres (020)",2317,2305,12,
"De 65 a más años (021)",3105,3021,79,5
"Hombres (022)",1301,1290,11,
"Mujeres (023)",1804,1731,68,5
,,,,
"URBANA (024)",18904,18660,145,99
"Hombres (025)",9228,9132,45,51
"Mujeres (026)",9676,9528,100,48
"Menores de 1 año (027)",328,285,24,19
"Hombres (028)",173,152,8,13
"Mujeres (029)",155,133,16,6
"De 1 a 5 años (030)",1873,1740,60,73
"Hombres (031)",959,892,29,38
"Mujeres (032)",914,848,31,35
"De 6 a 14 años (033)",3984,3978,6,
"Hombres (034)",1996,1993,3,
"Mujeres (035)",1988,1985,3,
"De 15 a 29 años (036)",4076,4075,1,
"Hombres (037)",2096,2096,,
"Mujeres (038)",1980,1979,1,
"De 30 a 44 años (039)",3444,3439,3,2
"Hombres (040)",1748,1748,,
"Mujeres (041)",1696,1691,3,2
"De 45 a 64 años (042)",3049,3043,6,
"Hombres (043)",1372,1371,1,
"Mujeres (044)",1677,1672,5,
"De 65 a más años (045)",2150,2100,45,5
"Hombres (046)",884,880,4,
"Mujeres (047)",1266,1220,41,5
,,,,
"RURAL (048)",6508,6355,111,42
"Hombres (049)",3088,3025,41,22
"Mujeres (050)",3420,3330,70,20
"Menores de 1 año (051)",131,98,21,12
"Hombres (052)",61,44,10,7
"Mujeres (053)",70,54,11,5
"De 1 a 5 años (054)",742,673,40,29
"Hombres (055)",388,353,21,14
"Mujeres (056)",354,320,19,15
"De 6 a 14 años (057)",1331,1323,7,1
"Hombres (058)",678,674,3,1
"Mujeres (059)",653,649,4,
"De 15 a 29 años (060)",1240,1239,1,
"Hombres (061)",584,584,,
"Mujeres (062)",656,655,1,
"De 30 a 44 años (063)",1002,1001,1,
"Hombres (064)",493,493,,
"Mujeres (065)",509,508,1,
"De 45 a 64 años (066)",1107,1100,7,
"Hombres (067)",467,467,,
"Mujeres (068)",640,633,7,
"De 65 a más años (069)",955,921,34,
"Hombres (070)",417,410,7,
"Mujeres (071)",538,511,27,
