"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia BELLAVISTA (000)",11400,48716,6261,26604,5139,22112
"Casa independiente (001)",9538,41027,6042,25883,3496,15144
"Departamento en edificio (002)",8,33,8,33,,
"Vivienda en quinta (003)",141,442,141,442,,
"Vivienda en casa de vecindad (004)",32,94,32,94,,
"Choza o cabaña (005)",1634,6941,,,1634,6941
"Vivienda improvisada (006)",26,109,26,109,,
"Local no dest.para hab. humana (007)",16,57,8,31,8,26
"Otro tipo (008)",5,13,4,12,1,1
