"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia AREQUIPA",,,,
"Viviendas particulares (001)",179714,155769,10927,13018
"Ocupantes presentes (002)",766778,680595,41983,44200
"Casa independiente",,,,
"Viviendas particulares (004)",164234,142958,8652,12624
"Ocupantes presentes (005)",712725,634958,34729,43038
"Departamento en edificio",,,,
"Viviendas particulares (007)",8054,7541,513,
"Ocupantes presentes (008)",27178,25538,1640,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",3440,2871,569,
"Ocupantes presentes (011)",12926,10968,1958,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",3309,2065,1099,145
"Ocupantes presentes (014)",12004,8132,3399,473
"Choza o cabaña",,,,
"Viviendas particulares (016)",16,,,16
"Ocupantes presentes (017)",46,,,46
"Vivienda improvisada",,,,
"Viviendas particulares (019)",366,141,51,174
"Ocupantes presentes (020)",1103,480,132,491
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",277,193,43,41
"Ocupantes presentes (023)",755,519,125,111
"Otro tipo",,,,
"Viviendas particulares (025)",18,,,18
"Ocupantes presentes (026)",41,,,41
Si,,,,
"Viviendas particulares (028)",167674,148740,9912,9022
"Ocupantes presentes (029)",718024,649163,37971,30890
"Casa independiente",,,,
"Viviendas particulares (031)",152761,136264,7759,8738
"Ocupantes presentes (032)",665839,604626,31130,30083
"Departamento en edificio",,,,
"Viviendas particulares (034)",7973,7466,507,
"Ocupantes presentes (035)",26930,25303,1627,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",3342,2796,546,
"Ocupantes presentes (038)",12544,10686,1858,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",3091,1927,1035,129
"Ocupantes presentes (041)",11285,7704,3175,406
"Choza o cabaña",,,,
"Viviendas particulares (043)",16,,,16
"Ocupantes presentes (044)",46,,,46
"Vivienda improvisada",,,,
"Viviendas particulares (046)",236,100,32,104
"Ocupantes presentes (047)",678,344,78,256
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",246,187,33,26
"Ocupantes presentes (050)",686,500,103,83
"Otro tipo",,,,
"Viviendas particulares (052)",9,,,9
"Ocupantes presentes (053)",16,,,16
No,,,,
"Viviendas particulares (055)",12040,7029,1015,3996
"Ocupantes presentes (056)",48754,31432,4012,13310
"Casa independiente",,,,
"Viviendas particulares (058)",11473,6694,893,3886
"Ocupantes presentes (059)",46886,30332,3599,12955
"Departamento en edificio",,,,
"Viviendas particulares (061)",81,75,6,
"Ocupantes presentes (062)",248,235,13,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",98,75,23,
"Ocupantes presentes (065)",382,282,100,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",218,138,64,16
"Ocupantes presentes (068)",719,428,224,67
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",130,41,19,70
"Ocupantes presentes (074)",425,136,54,235
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",31,6,10,15
"Ocupantes presentes (077)",69,19,22,28
"Otro tipo",,,,
"Viviendas particulares (079)",9,,,9
"Ocupantes presentes (080)",25,,,25
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",178716,155110,10744,12862
"Ocupantes presentes (110)",763391,678316,41426,43649
"Casa independiente",,,,
"Viviendas particulares (112)",163253,142300,8469,12484
"Ocupantes presentes (113)",709388,632683,34172,42533
"Departamento en edificio",,,,
"Viviendas particulares (115)",8054,7541,513,
"Ocupantes presentes (116)",27178,25538,1640,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",3440,2871,569,
"Ocupantes presentes (119)",12926,10968,1958,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",3309,2065,1099,145
"Ocupantes presentes (122)",12004,8132,3399,473
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",366,141,51,174
"Ocupantes presentes (128)",1103,480,132,491
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",276,192,43,41
"Ocupantes presentes (131)",751,515,125,111
"Otro tipo",,,,
"Viviendas particulares (133)",18,,,18
"Ocupantes presentes (134)",41,,,41
Si,,,,
"Viviendas particulares (136)",166806,148168,9738,8900
"Ocupantes presentes (137)",715047,647164,37437,30446
"Casa independiente",,,,
"Viviendas particulares (139)",151910,135693,7585,8632
"Ocupantes presentes (140)",662912,602631,30596,29685
"Departamento en edificio",,,,
"Viviendas particulares (142)",7973,7466,507,
"Ocupantes presentes (143)",26930,25303,1627,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",3342,2796,546,
"Ocupantes presentes (146)",12544,10686,1858,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",3091,1927,1035,129
"Ocupantes presentes (149)",11285,7704,3175,406
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",236,100,32,104
"Ocupantes presentes (155)",678,344,78,256
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",245,186,33,26
"Ocupantes presentes (158)",682,496,103,83
"Otro tipo",,,,
"Viviendas particulares (160)",9,,,9
"Ocupantes presentes (161)",16,,,16
No,,,,
"Viviendas particulares (163)",11910,6942,1006,3962
"Ocupantes presentes (164)",48344,31152,3989,13203
"Casa independiente",,,,
"Viviendas particulares (166)",11343,6607,884,3852
"Ocupantes presentes (167)",46476,30052,3576,12848
"Departamento en edificio",,,,
"Viviendas particulares (169)",81,75,6,
"Ocupantes presentes (170)",248,235,13,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",98,75,23,
"Ocupantes presentes (173)",382,282,100,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",218,138,64,16
"Ocupantes presentes (176)",719,428,224,67
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",130,41,19,70
"Ocupantes presentes (182)",425,136,54,235
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",31,6,10,15
"Ocupantes presentes (185)",69,19,22,28
"Otro tipo",,,,
"Viviendas particulares (187)",9,,,9
"Ocupantes presentes (188)",25,,,25
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",998,659,183,156
"Ocupantes presentes (218)",3387,2279,557,551
"Casa independiente",,,,
"Viviendas particulares (220)",981,658,183,140
"Ocupantes presentes (221)",3337,2275,557,505
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",16,,,16
"Ocupantes presentes (233)",46,,,46
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,1,,
"Ocupantes presentes (239)",4,4,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",868,572,174,122
"Ocupantes presentes (245)",2977,1999,534,444
"Casa independiente",,,,
"Viviendas particulares (247)",851,571,174,106
"Ocupantes presentes (248)",2927,1995,534,398
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",16,,,16
"Ocupantes presentes (260)",46,,,46
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",4,4,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",130,87,9,34
"Ocupantes presentes (272)",410,280,23,107
"Casa independiente",,,,
"Viviendas particulares (274)",130,87,9,34
"Ocupantes presentes (275)",410,280,23,107
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
