"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CONTUMAZA (000)",912,284,628
"Sin nivel (001)",27,11,16
"Primaria (003)",484,152,332
"Secundaria (004)",253,81,172
"Superior no univ. incompleta (005)",21,5,16
"Superior no univ. completa (006)",97,27,70
"Superior univ. incompleta (007)",10,4,6
"Superior univ. completa (008)",20,4,16
"Hombres (010)",762,210,552
"Sin nivel (011)",22,10,12
"Primaria (013)",437,123,314
"Secundaria (014)",219,63,156
"Superior no univ. incompleta (015)",15,1,14
"Superior no univ. completa (016)",53,11,42
"Superior univ. incompleta (017)",6,2,4
"Superior univ. completa (018)",10,,10
"Mujeres (020)",150,74,76
"Sin nivel (021)",5,1,4
"Primaria (023)",47,29,18
"Secundaria (024)",34,18,16
"Superior no univ. incompleta (025)",6,4,2
"Superior no univ. completa (026)",44,16,28
"Superior univ. incompleta (027)",4,2,2
"Superior univ. completa (028)",10,4,6
,,,
"AREA URBANA (030)",371,79,292
"Sin nivel (031)",10,2,8
"Primaria (033)",94,9,85
"Secundaria (034)",144,37,107
"Superior no univ. incompleta (035)",18,5,13
"Superior no univ. completa (036)",78,19,59
"Superior univ. incompleta (037)",8,4,4
"Superior univ. completa (038)",19,3,16
"Hombres (040)",276,43,233
"Sin nivel (041)",9,2,7
"Primaria (043)",80,5,75
"Secundaria (044)",120,26,94
"Superior no univ. incompleta (045)",12,1,11
"Superior no univ. completa (046)",40,7,33
"Superior univ. incompleta (047)",5,2,3
"Superior univ. completa (048)",10,,10
"Mujeres (050)",95,36,59
"Sin nivel (051)",1,,1
"Primaria (053)",14,4,10
"Secundaria (054)",24,11,13
"Superior no univ. incompleta (055)",6,4,2
"Superior no univ. completa (056)",38,12,26
"Superior univ. incompleta (057)",3,2,1
"Superior univ. completa (058)",9,3,6
,,,
"AREA RURAL (060)",541,205,336
"Sin nivel (061)",17,9,8
"Primaria (063)",390,143,247
"Secundaria (064)",109,44,65
"Superior no univ. incompleta (065)",3,,3
"Superior no univ. completa (066)",19,8,11
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",1,1,
"Hombres (070)",486,167,319
"Sin nivel (071)",13,8,5
"Primaria (073)",357,118,239
"Secundaria (074)",99,37,62
"Superior no univ. incompleta (075)",3,,3
"Superior no univ. completa (076)",13,4,9
"Superior univ. incompleta (077)",1,,1
"Mujeres (080)",55,38,17
"Sin nivel (081)",4,1,3
"Primaria (083)",33,25,8
"Secundaria (084)",10,7,3
"Superior no univ. completa (086)",6,4,2
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",1,1,
