"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UCAYALI (000)",20353,16150,2427,891,885
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",29,,15,4,10
"Profes., científicos e intelectuales (002)",1545,469,486,376,214
"Técnicos de nivel medio y trab. asimilados (003)",349,178,52,43,76
"Jefes y empleados de oficina (004)",356,66,25,44,221
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1553,1394,86,33,40
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7265,6546,703,13,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",886,628,130,59,69
"Obreros construc.,conf.,papel, fab., instr. (008)",797,608,83,60,46
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6887,5789,769,214,115
"Otra (010)",70,,,,70
"Ocupación no especificada (011)",616,472,78,45,21
"Hombres (012)",14353,11254,1831,608,660
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,12,4,9
"Profes., científicos e intelectuales (014)",835,204,296,189,146
"Técnicos de nivel medio y trab. asimilados (015)",252,131,41,33,47
"Jefes y empleados de oficina (016)",222,35,13,29,145
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",770,677,45,17,31
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6490,5858,617,12,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",680,444,118,54,64
"Obreros construc.,conf.,papel, fab., instr. (020)",632,452,83,53,44
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4039,3222,549,182,86
"Otra (022)",69,,,,69
"Ocupación no especificada (023)",339,231,57,35,16
"Mujeres (024)",6000,4896,596,283,225
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,3,,1
"Profes., científicos e intelectuales (026)",710,265,190,187,68
"Técnicos de nivel medio y trab. asimilados (027)",97,47,11,10,29
"Jefes y empleados de oficina (028)",134,31,12,15,76
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",783,717,41,16,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",775,688,86,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",206,184,12,5,5
"Obreros construc.,conf.,papel, fab., instr. (032)",165,156,,7,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2848,2567,220,32,29
