"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OTUZCO (000)",28553,1038,9824,8819,6415,2457
"Agric., ganadería, caza y silvicultura (001)",20870,877,7289,5966,4705,2033
"Pesca (002)",2,,,2,,
"Explotación de minas y canteras (003)",596,11,342,188,53,2
"Industrias manufactureras (004)",709,11,217,218,206,57
"Suministro de electricidad, gas y agua (005)",25,,13,7,5,
"Construcción (006)",560,7,212,172,150,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1626,23,383,575,504,141
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,,15,16,7,
"Comercio al por mayor (009)",72,,15,21,29,7
"Comercio al por menor (010)",1516,23,353,538,468,134
"Hoteles y restaurantes (011)",544,30,162,170,142,40
"Trans., almac. y comunicaciones (012)",414,6,183,162,54,9
"Intermediación financiera (013)",15,,13,2,,
"Activid.inmobil., empres. y alquileres (014)",148,,52,58,36,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",229,,66,99,57,7
"Enseñanza (016)",979,,172,638,167,2
"Servicios sociales y de salud (017)",154,,65,70,15,4
"Otras activ. serv.comun.soc y personales (018)",235,3,86,96,34,16
"Hogares privados con servicio doméstico (019)",652,68,299,154,106,25
"Actividad economica no especificada (021)",795,2,270,242,181,100
"Hombres (022)",22763,703,7810,6990,5185,2075
"Agric., ganadería, caza y silvicultura (023)",18769,639,6427,5504,4324,1875
"Pesca (024)",1,,,1,,
"Explotación de minas y canteras (025)",587,11,334,187,53,2
"Industrias manufactureras (026)",466,6,146,139,135,40
"Suministro de electricidad, gas y agua (027)",24,,13,6,5,
"Construcción (028)",554,7,208,170,150,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",780,12,198,284,217,69
"Venta, mant.y rep. veh.autom.y motoc. (030)",32,,11,14,7,
"Comercio al por mayor (031)",41,,8,12,18,3
"Comercio al por menor (032)",707,12,179,258,192,66
"Hoteles y restaurantes (033)",67,5,22,20,15,5
"Trans., almac. y comunicaciones (034)",389,6,167,154,53,9
"Intermediación financiera (035)",6,,5,1,,
"Activid.inmobil., empres. y alquileres (036)",107,,33,41,32,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",177,,41,77,52,7
"Enseñanza (038)",457,,70,292,93,2
"Servicios sociales y de salud (039)",50,,16,25,6,3
"Otras activ. serv.comun.soc y personales (040)",103,2,52,27,16,6
