"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN MARTIN (000)",1976,41,1033,553,298,51
"Conviviente (001)",555,,243,230,79,3
"Separado(a) (002)",64,,16,26,22,
"Casado(a) (003)",395,,40,161,160,34
"Viudo(a) (004)",27,,,9,7,11
"Divorciado(a) (005)",8,,2,2,4,
"Soltero(a) (006)",927,41,732,125,26,3
"Hombres (008)",1317,27,646,366,237,41
"Conviviente (009)",382,,144,171,64,3
"Separado(a) (010)",31,,6,9,16,
"Casado(a) (011)",283,,19,104,130,30
"Viudo(a) (012)",14,,,3,5,6
"Divorciado(a) (013)",6,,2,1,3,
"Soltero(a) (014)",601,27,475,78,19,2
"Mujeres (016)",659,14,387,187,61,10
"Conviviente (017)",173,,99,59,15,
"Separado(a) (018)",33,,10,17,6,
"Casado(a) (019)",112,,21,57,30,4
"Viudo(a) (020)",13,,,6,2,5
"Divorciado(a) (021)",2,,,1,1,
"Soltero(a) (022)",326,14,257,47,7,1
,,,,,,
"AREA URBANA (024)",1818,34,968,503,270,43
"Conviviente (025)",493,,219,200,72,2
"Separado(a) (026)",62,,16,25,21,
"Casado(a) (027)",363,,38,151,145,29
"Viudo(a) (028)",24,,,9,6,9
"Divorciado(a) (029)",7,,2,2,3,
"Soltero(a) (030)",869,34,693,116,23,3
"Hombres (032)",1189,24,589,326,214,36
"Conviviente (033)",329,,123,145,59,2
"Separado(a) (034)",29,,6,8,15,
"Casado(a) (035)",257,,17,96,118,26
"Viudo(a) (036)",13,,,3,4,6
"Divorciado(a) (037)",5,,2,1,2,
"Soltero(a) (038)",556,24,441,73,16,2
"Mujeres (040)",629,10,379,177,56,7
"Conviviente (041)",164,,96,55,13,
"Separado(a) (042)",33,,10,17,6,
"Casado(a) (043)",106,,21,55,27,3
"Viudo(a) (044)",11,,,6,2,3
"Divorciado(a) (045)",2,,,1,1,
"Soltero(a) (046)",313,10,252,43,7,1
,,,,,,
"AREA RURAL (048)",158,7,65,50,28,8
"Conviviente (049)",62,,24,30,7,1
"Separado(a) (050)",2,,,1,1,
"Casado(a) (051)",32,,2,10,15,5
"Viudo(a) (052)",3,,,,1,2
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",58,7,39,9,3,
"Hombres (056)",128,3,57,40,23,5
"Conviviente (057)",53,,21,26,5,1
"Separado(a) (058)",2,,,1,1,
"Casado(a) (059)",26,,2,8,12,4
"Viudo(a) (060)",1,,,,1,
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",45,3,34,5,3,
"Mujeres (064)",30,4,8,10,5,3
"Conviviente (065)",9,,3,4,2,
"Casado(a) (067)",6,,,2,3,1
"Viudo(a) (068)",2,,,,,2
"Soltero(a) (070)",13,4,5,4,,
