"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",16914,16691,144,79
"Hombres (001)",8951,8845,72,34
"Mujeres (002)",7963,7846,72,45
"Menores de 1 año (003)",327,259,46,22
"Hombres (004)",173,137,25,11
"Mujeres (005)",154,122,21,11
"De 1 a 5 años (006)",1865,1733,79,53
"Hombres (007)",975,912,42,21
"Mujeres (008)",890,821,37,32
"De 6 a 14 años (009)",3018,3018,,
"Hombres (010)",1577,1577,,
"Mujeres (011)",1441,1441,,
"De 15 a 29 años (012)",4596,4596,,
"Hombres (013)",2381,2381,,
"Mujeres (014)",2215,2215,,
"De 30 a 44 años (015)",3485,3485,,
"Hombres (016)",1839,1839,,
"Mujeres (017)",1646,1646,,
"De 45 a 64 años (018)",2582,2579,2,1
"Hombres (019)",1448,1447,,1
"Mujeres (020)",1134,1132,2,
"De 65 a más años (021)",1041,1021,17,3
"Hombres (022)",558,552,5,1
"Mujeres (023)",483,469,12,2
,,,,
"URBANA (024)",13244,13046,133,65
"Hombres (025)",6947,6853,65,29
"Mujeres (026)",6297,6193,68,36
"Menores de 1 año (027)",279,220,43,16
"Hombres (028)",146,115,23,8
"Mujeres (029)",133,105,20,8
"De 1 a 5 años (030)",1500,1377,76,47
"Hombres (031)",786,727,39,20
"Mujeres (032)",714,650,37,27
"De 6 a 14 años (033)",2414,2414,,
"Hombres (034)",1254,1254,,
"Mujeres (035)",1160,1160,,
"De 15 a 29 años (036)",3732,3732,,
"Hombres (037)",1913,1913,,
"Mujeres (038)",1819,1819,,
"De 30 a 44 años (039)",2692,2692,,
"Hombres (040)",1404,1404,,
"Mujeres (041)",1288,1288,,
"De 45 a 64 años (042)",1957,1956,,1
"Hombres (043)",1100,1099,,1
"Mujeres (044)",857,857,,
"De 65 a más años (045)",670,655,14,1
"Hombres (046)",344,341,3,
"Mujeres (047)",326,314,11,1
,,,,
"RURAL (048)",3670,3645,11,14
"Hombres (049)",2004,1992,7,5
"Mujeres (050)",1666,1653,4,9
"Menores de 1 año (051)",48,39,3,6
"Hombres (052)",27,22,2,3
"Mujeres (053)",21,17,1,3
"De 1 a 5 años (054)",365,356,3,6
"Hombres (055)",189,185,3,1
"Mujeres (056)",176,171,,5
"De 6 a 14 años (057)",604,604,,
"Hombres (058)",323,323,,
"Mujeres (059)",281,281,,
"De 15 a 29 años (060)",864,864,,
"Hombres (061)",468,468,,
"Mujeres (062)",396,396,,
"De 30 a 44 años (063)",793,793,,
"Hombres (064)",435,435,,
"Mujeres (065)",358,358,,
"De 45 a 64 años (066)",625,623,2,
"Hombres (067)",348,348,,
"Mujeres (068)",277,275,2,
"De 65 a más años (069)",371,366,3,2
"Hombres (070)",214,211,2,1
"Mujeres (071)",157,155,1,1
