"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONCEPCION (000)",18961,15522,1345,976,1118
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",54,4,8,5,37
"Profes., científicos e intelectuales (002)",1251,406,265,303,277
"Técnicos de nivel medio y trab. asimilados (003)",537,281,65,78,113
"Jefes y empleados de oficina (004)",313,75,35,56,147
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1715,1574,74,34,33
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4955,4764,186,4,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1213,751,131,183,148
"Obreros construc.,conf.,papel, fab., instr. (008)",1310,969,122,126,93
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7055,6290,441,170,154
"Otra (010)",75,,,,75
"Ocupación no especificada (011)",483,408,18,17,40
"Hombres (012)",12466,10048,904,748,766
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",46,4,8,5,29
"Profes., científicos e intelectuales (014)",627,196,127,165,139
"Técnicos de nivel medio y trab. asimilados (015)",349,184,42,63,60
"Jefes y empleados de oficina (016)",141,30,11,32,68
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",648,555,44,30,19
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3893,3749,140,3,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",980,582,106,172,120
"Obreros construc.,conf.,papel, fab., instr. (020)",1289,951,120,126,92
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4241,3678,295,139,129
"Otra (022)",70,,,,70
"Ocupación no especificada (023)",182,119,11,13,39
"Mujeres (024)",6495,5474,441,228,352
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,,,,8
"Profes., científicos e intelectuales (026)",624,210,138,138,138
"Técnicos de nivel medio y trab. asimilados (027)",188,97,23,15,53
"Jefes y empleados de oficina (028)",172,45,24,24,79
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1067,1019,30,4,14
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1062,1015,46,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",233,169,25,11,28
"Obreros construc.,conf.,papel, fab., instr. (032)",21,18,2,,1
