"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia MARAÑON (000)",26620,26140,403,77
"Hombres (001)",13677,13484,156,37
"Mujeres (002)",12943,12656,247,40
"Menores de 1 año (003)",661,561,77,23
"Hombres (004)",318,270,38,10
"Mujeres (005)",343,291,39,13
"De 1 a 5 años (006)",3682,3515,121,46
"Hombres (007)",1875,1796,55,24
"Mujeres (008)",1807,1719,66,22
"De 6 a 14 años (009)",6913,6900,10,3
"Hombres (010)",3631,3624,5,2
"Mujeres (011)",3282,3276,5,1
"De 15 a 29 años (012)",6343,6336,6,1
"Hombres (013)",3263,3259,4,
"Mujeres (014)",3080,3077,2,1
"De 30 a 44 años (015)",4404,4388,15,1
"Hombres (016)",2242,2237,5,
"Mujeres (017)",2162,2151,10,1
"De 45 a 64 años (018)",3334,3288,45,1
"Hombres (019)",1724,1712,12,
"Mujeres (020)",1610,1576,33,1
"De 65 a más años (021)",1283,1152,129,2
"Hombres (022)",624,586,37,1
"Mujeres (023)",659,566,92,1
,,,,
"URBANA (024)",4007,3965,37,5
"Hombres (025)",2096,2081,14,1
"Mujeres (026)",1911,1884,23,4
"Menores de 1 año (027)",69,58,9,2
"Hombres (028)",40,33,7,
"Mujeres (029)",29,25,2,2
"De 1 a 5 años (030)",414,401,11,2
"Hombres (031)",224,220,3,1
"Mujeres (032)",190,181,8,1
"De 6 a 14 años (033)",1011,1011,,
"Hombres (034)",536,536,,
"Mujeres (035)",475,475,,
"De 15 a 29 años (036)",1009,1008,,1
"Hombres (037)",513,513,,
"Mujeres (038)",496,495,,1
"De 30 a 44 años (039)",801,801,,
"Hombres (040)",417,417,,
"Mujeres (041)",384,384,,
"De 45 a 64 años (042)",497,496,1,
"Hombres (043)",269,269,,
"Mujeres (044)",228,227,1,
"De 65 a más años (045)",206,190,16,
"Hombres (046)",97,93,4,
"Mujeres (047)",109,97,12,
,,,,
"RURAL (048)",22613,22175,366,72
"Hombres (049)",11581,11403,142,36
"Mujeres (050)",11032,10772,224,36
"Menores de 1 año (051)",592,503,68,21
"Hombres (052)",278,237,31,10
"Mujeres (053)",314,266,37,11
"De 1 a 5 años (054)",3268,3114,110,44
"Hombres (055)",1651,1576,52,23
"Mujeres (056)",1617,1538,58,21
"De 6 a 14 años (057)",5902,5889,10,3
"Hombres (058)",3095,3088,5,2
"Mujeres (059)",2807,2801,5,1
"De 15 a 29 años (060)",5334,5328,6,
"Hombres (061)",2750,2746,4,
"Mujeres (062)",2584,2582,2,
"De 30 a 44 años (063)",3603,3587,15,1
"Hombres (064)",1825,1820,5,
"Mujeres (065)",1778,1767,10,1
"De 45 a 64 años (066)",2837,2792,44,1
"Hombres (067)",1455,1443,12,
"Mujeres (068)",1382,1349,32,1
"De 65 a más años (069)",1077,962,113,2
"Hombres (070)",527,493,33,1
"Mujeres (071)",550,469,80,1
