"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CELENDIN (000)",22834,21808,113,4386,3907,3143,4878,3088,1652,641,1026,83939
"De 12 a 14 años (001)",53,29,1,25,3,,,,,,24,31
"De 15 a 19 años (002)",790,643,13,550,69,6,5,,,,147,726
"De 20 a 24 años (003)",2621,2300,19,1453,624,157,42,5,,,321,3378
"De 25 a 29 años (004)",2866,2675,15,919,960,495,262,23,1,,191,5590
"De 30 a 34 años (005)",2644,2539,7,462,747,603,577,127,13,3,105,7206
"De 35 a 39 años (006)",2653,2581,8,265,512,574,865,287,62,8,72,9246
"De 40 a 44 años (007)",2241,2204,5,169,286,384,732,433,151,44,37,9660
"De 45 a 49 años (008)",1888,1862,5,111,196,243,587,427,223,70,26,9262
"De 50 y más años (009)",7078,6975,40,432,510,681,1808,1786,1202,516,103,38840
"Conviviente (010)",10680,10380,60,2322,2054,1513,2205,1320,667,239,300,37378
"De 12 a 14 años (011)",37,18,,15,3,,,,,,19,21
"De 15 a 19 años (012)",558,428,9,355,56,4,4,,,,130,495
"De 20 a 24 años (013)",1620,1542,14,925,451,116,32,4,,,78,2333
"De 25 a 29 años (014)",1741,1712,9,534,620,344,191,13,1,,29,3712
"De 30 a 34 años (015)",1504,1492,3,221,431,368,371,88,8,2,12,4454
"De 35 a 39 años (016)",1314,1304,4,85,218,270,497,181,42,7,10,5097
"De 40 a 44 años (017)",1037,1033,3,43,110,147,349,257,101,23,4,5001
"De 45 a 49 años (018)",814,810,1,40,52,88,255,230,112,32,4,4351
"De 50 y más años (019)",2055,2041,17,104,113,176,506,547,403,175,14,11914
"Separado(a) (020)",1405,1384,6,454,304,206,241,123,36,14,21,3980
"De 12 a 14 años (021)",3,2,,2,,,,,,,1,2
