"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia BARRANCA (000)",52627,12136,15123,18974,1033,2064,1150,2147
"Agric., ganadería, caza y silvicultura (001)",12642,206,8009,3269,402,756,,
"Pesca (002)",807,37,482,258,8,22,,
"Explotación de minas y canteras (003)",111,23,74,11,1,2,,
"Industrias manufactureras (004)",4198,660,2338,1106,66,28,,
"Suministro de electricidad, gas y agua (005)",124,61,57,5,1,,,
"Construcción (006)",2765,90,1769,830,56,20,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",10819,1897,477,7253,273,919,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1179,171,310,613,58,27,,
"Comercio al por mayor (009)",553,203,59,232,26,33,,
"Comercio al por menor (010)",9087,1523,108,6408,189,859,,
"Hoteles y restaurantes (011)",2800,896,177,1509,84,134,,
"Trans., almac. y comunicaciones (012)",5110,1134,804,3061,66,45,,
"Intermediación financiera (013)",233,222,1,9,,1,,
"Activid.inmobil., empres. y alquileres (014)",2276,1550,264,427,24,11,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1308,1154,154,,,,,
"Enseñanza (016)",2650,2526,1,104,7,12,,
"Servicios sociales y de salud (017)",693,598,14,74,5,2,,
"Otras activ. serv.comun.soc y personales (018)",1985,823,327,771,33,31,,
"Hogares privados con servicio doméstico (019)",1150,,,,,,1150,
"Actividad economica no especificada (021)",809,259,175,287,7,81,,
"Desocupado (022)",2147,,,,,,,2147
"Hombres (023)",35376,6767,12671,12720,772,866,37,1543
"Agric., ganadería, caza y silvicultura (024)",10109,180,6273,2856,347,453,,
"Pesca (025)",791,31,477,254,8,21,,
"Explotación de minas y canteras (026)",101,17,72,10,1,1,,
"Industrias manufactureras (027)",3356,484,1976,823,54,19,,
"Suministro de electricidad, gas y agua (028)",100,38,56,5,1,,,
"Construcción (029)",2732,82,1757,820,54,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",5397,997,455,3552,164,229,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1096,130,303,590,54,19,,
"Comercio al por mayor (032)",353,128,53,144,20,8,,
"Comercio al por menor (033)",3948,739,99,2818,90,202,,
"Hoteles y restaurantes (034)",870,359,80,347,36,48,,
"Trans., almac. y comunicaciones (035)",4769,878,789,3006,61,35,,
"Intermediación financiera (036)",147,140,1,6,,,,
"Activid.inmobil., empres. y alquileres (037)",1706,1119,230,335,17,5,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",857,735,122,,,,,
"Enseñanza (039)",1019,961,1,49,3,5,,
"Servicios sociales y de salud (040)",220,174,4,39,3,,,
"Otras activ. serv.comun.soc y personales (041)",1247,465,277,465,20,20,,
"Hogares privados con servicio doméstico (042)",37,,,,,,37,
"Actividad economica no especificada (044)",375,107,101,153,3,11,,
"Desocupado (045)",1543,,,,,,,1543
"Mujeres (046)",17251,5369,2452,6254,261,1198,1113,604
"Agric., ganadería, caza y silvicultura (047)",2533,26,1736,413,55,303,,
"Pesca (048)",16,6,5,4,,1,,
"Explotación de minas y canteras (049)",10,6,2,1,,1,,
"Industrias manufactureras (050)",842,176,362,283,12,9,,
"Suministro de electricidad, gas y agua (051)",24,23,1,,,,,
"Construcción (052)",33,8,12,10,2,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",5422,900,22,3701,109,690,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",83,41,7,23,4,8,,
"Comercio al por mayor (055)",200,75,6,88,6,25,,
"Comercio al por menor (056)",5139,784,9,3590,99,657,,
"Hoteles y restaurantes (057)",1930,537,97,1162,48,86,,
"Trans., almac. y comunicaciones (058)",341,256,15,55,5,10,,
"Intermediación financiera (059)",86,82,,3,,1,,
"Activid.inmobil., empres. y alquileres (060)",570,431,34,92,7,6,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",451,419,32,,,,,
"Enseñanza (062)",1631,1565,,55,4,7,,
"Servicios sociales y de salud (063)",473,424,10,35,2,2,,
"Otras activ. serv.comun.soc y personales (064)",738,358,50,306,13,11,,
"Hogares privados con servicio doméstico (065)",1113,,,,,,1113,
"Actividad economica no especificada (067)",434,152,74,134,4,70,,
"Desocupado (068)",604,,,,,,,604
,,,,,,,,
"URBANA (069)",44963,11732,10481,17258,861,1641,1057,1933
"Agric., ganadería, caza y silvicultura (070)",6878,168,3915,2146,248,401,,
"Pesca (071)",787,37,470,250,8,22,,
"Explotación de minas y canteras (072)",71,19,38,11,1,2,,
"Industrias manufactureras (073)",3943,633,2143,1077,63,27,,
"Suministro de electricidad, gas y agua (074)",121,61,54,5,1,,,
"Construcción (075)",2663,88,1688,812,56,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",10429,1842,448,6983,264,892,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",1141,168,293,596,57,27,,
"Comercio al por mayor (078)",536,198,52,229,24,33,,
"Comercio al por menor (079)",8752,1476,103,6158,183,832,,
"Hoteles y restaurantes (080)",2698,881,161,1454,80,122,,
"Trans., almac. y comunicaciones (081)",4823,1096,705,2912,65,45,,
"Intermediación financiera (082)",228,218,1,8,,1,,
"Activid.inmobil., empres. y alquileres (083)",2189,1492,240,422,24,11,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1281,1131,150,,,,,
"Enseñanza (085)",2571,2452,1,99,7,12,,
"Servicios sociales y de salud (086)",671,580,13,71,5,2,,
"Otras activ. serv.comun.soc y personales (087)",1905,786,301,755,32,31,,
"Hogares privados con servicio doméstico (088)",1057,,,,,,1057,
"Actividad economica no especificada (090)",715,248,153,253,7,54,,
"Desocupado (091)",1933,,,,,,,1933
"Hombres (092)",29449,6523,8883,11362,624,650,37,1370
"Agric., ganadería, caza y silvicultura (093)",5412,151,2962,1838,211,250,,
"Pesca (094)",771,31,465,246,8,21,,
"Explotación de minas y canteras (095)",62,13,37,10,1,1,,
"Industrias manufactureras (096)",3158,467,1820,802,51,18,,
"Suministro de electricidad, gas y agua (097)",97,38,53,5,1,,,
"Construcción (098)",2631,80,1676,803,54,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",5219,970,426,3440,159,224,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",1061,129,286,574,53,19,,
"Comercio al por mayor (101)",341,126,46,143,18,8,,
"Comercio al por menor (102)",3817,715,94,2723,88,197,,
"Hoteles y restaurantes (103)",845,355,75,337,33,45,,
"Trans., almac. y comunicaciones (104)",4488,843,690,2860,60,35,,
"Intermediación financiera (105)",144,138,1,5,,,,
"Activid.inmobil., empres. y alquileres (106)",1635,1076,207,330,17,5,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",843,724,119,,,,,
"Enseñanza (108)",985,928,1,48,3,5,,
"Servicios sociales y de salud (109)",214,170,4,37,3,,,
"Otras activ. serv.comun.soc y personales (110)",1187,435,255,457,20,20,,
