"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAYLAS (000)",19731,19399,5845,2371,2305,1924,2841,1876,1274,963,332,58905
"De 12 a 14 años (001)",2030,2026,2020,5,1,,,,,,4,7
"De 15 a 19 años (002)",2532,2507,2182,273,43,7,2,,,,25,388
"De 20 a 24 años (003)",2038,1920,725,703,353,108,29,2,,,118,1867
"De 25 a 29 años (004)",1912,1839,282,512,504,307,217,17,,,73,3466
"De 30 a 34 años (005)",1769,1731,145,281,427,383,377,101,15,2,38,4712
"De 35 a 39 años (006)",1716,1692,100,162,324,318,484,216,79,9,24,6038
"De 40 a 44 años (007)",1426,1414,73,103,197,217,385,240,141,58,12,6218
"De 45 a 49 años (008)",1245,1237,65,82,129,188,289,243,143,98,8,6021
"De 50 y más años (009)",5063,5033,253,250,327,396,1058,1057,896,796,30,30188
"Sin nivel (010)",5434,5373,462,374,472,500,1108,998,777,682,61,28485
"De 12 a 14 años (011)",59,59,59,,,,,,,,,
"De 15 a 19 años (012)",184,184,134,35,11,2,2,,,,,71
"De 20 a 24 años (013)",287,276,62,92,76,35,9,2,,,11,399
"De 25 a 29 años (014)",363,349,25,51,100,78,88,7,,,14,910
"De 30 a 34 años (015)",425,415,21,38,70,87,143,47,8,1,10,1442
"De 35 a 39 años (016)",482,477,20,22,57,68,158,98,47,7,5,2153
"De 40 a 44 años (017)",464,460,19,17,23,38,130,109,87,37,4,2619
"De 45 a 49 años (018)",443,441,13,14,20,33,92,125,79,65,2,2736
"De 50 y más años (019)",2727,2712,109,105,115,159,486,610,556,572,15,18155
"Educacion Inicial (020)",59,59,16,10,6,17,9,,1,,,120
"De 12 a 14 años (021)",8,8,8,,,,,,,,,
"De 15 a 19 años (022)",7,7,4,3,,,,,,,,3
