"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AREQUIPA (000)",237623,227473,10150
"Casa independiente (001)",214486,205676,8810
"Departamento en edificio (002)",9193,9193,
"Vivienda en quinta (003)",3857,3857,
"Vivienda en casa de vecindad (004)",3747,3747,
"Choza o cabaña (005)",1331,,1331
"Vivienda improvisada (006)",4591,4591,
"Local no dest.para hab. humana (007)",356,351,5
"Otro tipo (008)",62,58,4
