"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOHO (000)",10830,10559,3047,1062,1139,1092,1828,1379,679,333,271,33026
"De 12 a 14 años (001)",1001,996,990,4,2,,,,,,5,8
"De 15 a 19 años (002)",1233,1207,1090,102,11,4,,,,,26,136
"De 20 a 24 años (003)",810,753,351,221,130,36,14,1,,,57,656
"De 25 a 29 años (004)",761,694,99,192,197,126,72,7,1,,67,1316
"De 30 a 34 años (005)",785,750,92,111,176,168,163,36,3,1,35,1941
"De 35 a 39 años (006)",776,757,54,86,139,157,207,92,19,3,19,2525
"De 40 a 44 años (007)",736,720,39,43,102,124,227,120,56,9,16,2975
"De 45 a 49 años (008)",638,623,36,34,75,81,169,144,63,21,15,2871
"De 50 y más años (009)",4090,4059,296,269,307,396,976,979,537,299,31,20598
"Sin nivel (010)",2852,2818,238,184,234,297,659,657,337,212,34,13935
"De 12 a 14 años (011)",8,8,8,,,,,,,,,
"De 15 a 19 años (012)",14,14,10,3,1,,,,,,,5
"De 20 a 24 años (013)",17,16,9,3,2,1,1,,,,1,15
"De 25 a 29 años (014)",31,30,5,7,8,6,3,1,,,1,60
"De 30 a 34 años (015)",45,43,10,6,5,10,10,2,,,2,105
"De 35 a 39 años (016)",68,67,6,3,12,16,16,10,3,1,1,241
"De 40 a 44 años (017)",126,122,10,9,13,24,34,17,12,3,4,511
"De 45 a 49 años (018)",145,138,8,10,17,13,36,37,12,5,7,640
"De 50 y más años (019)",2398,2380,172,143,176,227,559,590,310,203,18,12358
"Educacion Inicial (020)",26,24,10,3,1,6,3,,1,,2,45
"De 12 a 14 años (021)",8,8,8,,,,,,,,,
"De 15 a 19 años (022)",3,3,1,1,1,,,,,,,3
"De 25 a 29 años (024)",3,3,1,,,2,,,,,,6
