"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGUYO (000)",12723,12154,51,2041,2244,2058,3114,1861,675,110,569,45251
"De 12 a 14 años (001)",12,4,,4,,,,,,,8,4
"De 15 a 19 años (002)",195,166,2,142,14,4,4,,,,29,198
"De 20 a 24 años (003)",899,721,4,454,184,58,20,1,,,178,1087
"De 25 a 29 años (004)",1275,1103,4,410,368,208,108,5,,,172,2255
"De 30 a 34 años (005)",1385,1321,6,230,425,321,278,49,12,,64,3651
"De 35 a 39 años (006)",1455,1410,2,182,364,331,381,126,24,,45,4577
"De 40 a 44 años (007)",1183,1162,5,118,199,233,359,174,64,10,21,4569
"De 45 a 49 años (008)",1111,1097,2,89,153,179,338,226,96,14,14,4847
"De 50 y más años (009)",5208,5170,26,412,537,724,1626,1280,479,86,38,24063
"Sin nivel (010)",4436,4394,19,340,481,596,1399,1072,418,69,42,20461
"De 15 a 19 años (012)",3,3,,1,,1,1,,,,,8
"De 20 a 24 años (013)",20,16,,7,4,2,3,,,,4,34
"De 25 a 29 años (014)",38,36,1,7,15,7,6,,,,2,84
"De 30 a 34 años (015)",74,71,,7,18,17,21,7,1,,3,239
"De 35 a 39 años (016)",124,121,,16,24,24,36,17,4,,3,444
"De 40 a 44 años (017)",195,190,1,16,21,28,63,36,22,3,5,870
"De 45 a 49 años (018)",338,335,,22,38,37,101,89,42,6,3,1644
"De 50 y más años (019)",3644,3622,17,264,361,480,1168,923,349,60,22,17138
"Educacion Inicial (020)",20,19,,6,3,3,5,1,1,,1,56
"De 20 a 24 años (023)",2,1,,,,1,,,,,1,3
"De 25 a 29 años (024)",5,5,,3,,,2,,,,,11
"De 30 a 34 años (025)",7,7,,1,2,1,2,1,,,,23
