"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OXAPAMPA (000)",32420,27175,1775,1439,2031
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",66,3,16,9,38
"Profes., científicos e intelectuales (002)",1945,665,417,509,354
"Técnicos de nivel medio y trab. asimilados (003)",874,452,71,71,280
"Jefes y empleados de oficina (004)",602,147,47,94,314
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2843,2682,91,27,43
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10510,10214,248,33,15
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1478,1061,106,76,235
"Obreros construc.,conf.,papel, fab., instr. (008)",1681,1305,150,109,117
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",11588,10002,588,473,525
"Otra (010)",95,,,,95
"Ocupación no especificada (011)",738,644,41,38,15
"Hombres (012)",23696,19899,1317,1009,1471
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",54,3,11,8,32
"Profes., científicos e intelectuales (014)",948,305,224,243,176
"Técnicos de nivel medio y trab. asimilados (015)",550,285,46,55,164
"Jefes y empleados de oficina (016)",281,47,26,47,161
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1069,957,60,16,36
"Agricult.trabaj.calif.agrop.y pesqueros (018)",9500,9234,221,31,14
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1341,938,99,71,233
"Obreros construc.,conf.,papel, fab., instr. (020)",1636,1267,148,105,116
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7884,6580,461,409,434
"Otra (022)",94,,,,94
"Ocupación no especificada (023)",339,283,21,24,11
"Mujeres (024)",8724,7276,458,430,560
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",12,,5,1,6
"Profes., científicos e intelectuales (026)",997,360,193,266,178
"Técnicos de nivel medio y trab. asimilados (027)",324,167,25,16,116
"Jefes y empleados de oficina (028)",321,100,21,47,153
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1774,1725,31,11,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1010,980,27,2,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",137,123,7,5,2
"Obreros construc.,conf.,papel, fab., instr. (032)",45,38,2,4,1
