"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASMA (000)",12879,8554,4325
"Casa independiente (001)",12546,8316,4230
"Departamento en edificio (002)",31,31,
"Vivienda en quinta (003)",49,49,
"Vivienda en casa de vecindad (004)",18,18,
"Choza o cabaña (005)",94,,94
"Vivienda improvisada (006)",133,133,
"Local no dest.para hab. humana (007)",7,6,1
"Otro tipo (008)",1,1,
