"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHANCHAMAYO (000)",39735,94,471,1295,3460,8029,16611,9775
"De 12 a 14 años (001)",118,,,,,,13,105
"De 15 a 19 años (002)",1727,,,,,,1045,682
"De 20 a 24 años (003)",5074,,,,,31,3157,1886
"De 25 a 29 años (004)",5958,,,,,371,3986,1601
"De 30 a 34 años (005)",5335,,,,,983,3222,1130
"De 35 a 39 años (006)",5297,,,,67,1577,2714,939
"De 40 a 44 años (007)",4456,,,,276,1768,1664,748
"De 45 a 49 años (008)",3456,,,15,525,1643,695,578
"De 50 y más años (009)",8314,94,471,1280,2592,1656,115,2106
"Sin nivel (010)",6893,45,241,566,1149,1573,1681,1638
"De 12 a 14 años (011)",6,,,,,,1,5
"De 15 a 19 años (012)",44,,,,,,28,16
"De 20 a 24 años (013)",142,,,,,,96,46
"De 25 a 29 años (014)",232,,,,,11,178,43
"De 30 a 34 años (015)",569,,,,,92,371,106
"De 35 a 39 años (016)",735,,,,5,182,419,129
"De 40 a 44 años (017)",811,,,,34,286,346,145
"De 45 a 49 años (018)",787,,,3,78,385,201,120
"De 50 y más años (019)",3567,45,241,563,1032,617,41,1028
"Educacion Inicial (020)",87,,,,,10,57,20
"De 15 a 19 años (022)",3,,,,,,2,1
"De 20 a 24 años (023)",11,,,,,,6,5
"De 25 a 29 años (024)",24,,,,,,19,5
"De 30 a 34 años (025)",30,,,,,6,18,6
"De 35 a 39 años (026)",19,,,,,4,12,3
"Primaria (030)",13832,36,167,473,1318,3120,5959,2759
"De 12 a 14 años (031)",57,,,,,,8,49
"De 15 a 19 años (032)",566,,,,,,363,203
"De 20 a 24 años (033)",1325,,,,,10,968,347
"De 25 a 29 años (034)",1798,,,,,130,1290,378
"De 30 a 34 años (035)",1853,,,,,336,1174,343
"De 35 a 39 años (036)",2064,,,,29,623,1110,302
"De 40 a 44 años (037)",1766,,,,109,689,708,260
"De 45 a 49 años (038)",1381,,,6,199,656,295,225
"De 50 y más años (039)",3022,36,167,467,981,676,43,652
"Secundaria (040)",12512,8,45,162,629,2082,6262,3324
"De 12 a 14 años (041)",55,,,,,,4,51
"De 15 a 19 años (042)",1037,,,,,,600,437
"De 20 a 24 años (043)",2640,,,,,13,1619,1008
"De 25 a 29 años (044)",2701,,,,,177,1849,675
"De 30 a 34 años (045)",1710,,,,,355,1023,332
"De 35 a 39 años (046)",1426,,,,27,482,664,253
"De 40 a 44 años (047)",1130,,,,94,491,364,181
"De 45 a 49 años (048)",761,,,5,150,357,121,128
"De 50 y más años (049)",1052,8,45,157,358,207,18,259
