"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHINCHEROS (000)",11857,163,3272,4332,3063,1027
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",39,,4,16,19,
"Profes., científicos e intelectuales (002)",1167,,264,655,243,5
"Técnicos de nivel medio y trab. asimilados (003)",179,,58,96,24,1
"Jefes y empleados de oficina (004)",201,,58,103,39,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",773,13,234,314,167,45
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4032,2,703,1403,1303,621
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",374,5,136,141,77,15
"Obreros construc., conf., papel, fab., instr. (008)",448,,134,208,100,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",4246,143,1566,1252,1001,284
"Otra (010)",68,,19,41,8,
"Ocupación no especificada (011)",330,,96,103,82,49
"Hombres (012)",9377,131,2525,3331,2506,884
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",34,,3,14,17,
"Profes., científicos e intelectuales (014)",620,,110,344,161,5
"Técnicos de nivel medio y trab. asimilados (015)",118,,33,63,22,
"Jefes y empleados de oficina (016)",134,,27,70,36,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",246,5,70,91,58,22
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3819,2,665,1354,1215,583
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",304,3,106,120,62,13
"Obreros construc., conf., papel, fab., instr. (020)",441,,133,207,96,5
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3469,121,1321,990,800,237
"Otra (022)",67,,19,40,8,
"Ocupación no especificada (023)",125,,38,38,31,18
"Mujeres (024)",2480,32,747,1001,557,143
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",5,,1,2,2,
"Profes., científicos e intelectuales (026)",547,,154,311,82,
"Técnicos de nivel medio y trab. asimilados (027)",61,,25,33,2,1
"Jefes y empleados de oficina (028)",67,,31,33,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",527,8,164,223,109,23
"Agricult. trabaj. calif.agrop. y pesqueros (030)",213,,38,49,88,38
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",70,2,30,21,15,2
"Obreros construc., conf., papel, fab., instr. (032)",7,,1,1,4,1
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",777,22,245,262,201,47
"Otra (034)",1,,,1,,
