"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LAmás (000)",26661,79317,71322,,1674,89.9,2.1
"De 12 a 14 años (001)",2833,40,39,,13,97.5,32.5
"De 15 a 19 años (002)",3862,1235,1214,338,98.3,27.4,
"De 20 a 24 años (003)",3220,3933,3831,441,97.4,11.2,
"De 25 a 29 años (004)",2818,5839,5641,352,96.6,6,
"De 30 a 34 años (005)",2568,7305,6991,270,95.7,3.7,
"De 35 a 39 años (006)",2386,8960,8442,179,94.2,2,
"De 40 a 44 años (007)",1995,8605,8029,71,93.3,0.8,
"De 45 a 49 años (008)",1599,8102,7292,10,90,0.1,
"De 50 y más años (009)",5380,35298,29843,,84.5,,
"Sin nivel (010)",4096,23056,19495,156,84.6,0.7,
"De 12 a 14 años (011)",65,2,2,1,100,50,
"De 15 a 19 años (012)",116,73,73,14,100,19.2,
"De 20 a 24 años (013)",172,262,254,24,96.9,9.2,
"De 25 a 29 años (014)",202,496,473,27,95.4,5.4,
"De 30 a 34 años (015)",241,860,812,31,94.4,3.6,
"De 35 a 39 años (016)",308,1376,1259,37,91.5,2.7,
"De 40 a 44 años (017)",383,1862,1727,18,92.7,1,
"De 45 a 49 años (018)",412,2440,2124,4,87,0.2,
"De 50 y más años (019)",2197,15685,12771,,81.4,,
"Educacion Inicial (020)",44,88,88,7,100,8,
"De 12 a 14 años (021)",6,,,,,,
"De 15 a 19 años (022)",5,1,1,1,100,100,
"De 20 a 24 años (023)",10,19,19,4,100,21.1,
"De 25 a 29 años (024)",9,21,21,1,100,4.8,
"De 30 a 34 años (025)",4,12,12,1,100,8.3,
"De 35 a 39 años (026)",10,35,35,,100,,
"Primaria (030)",14602,46201,42198,1022,91.3,2.2,
"De 12 a 14 años (031)",1656,26,25,8,96.2,30.8,
"De 15 a 19 años (032)",1697,797,785,203,98.5,25.5,
"De 20 a 24 años (033)",1780,2579,2515,268,97.5,10.4,
"De 25 a 29 años (034)",1705,4017,3884,220,96.7,5.5,
"De 30 a 34 años (035)",1555,4853,4642,166,95.7,3.4,
"De 35 a 39 años (036)",1460,5967,5615,109,94.1,1.8,
"De 40 a 44 años (037)",1156,5450,5062,43,92.9,0.8,
"De 45 a 49 años (038)",885,4734,4287,5,90.6,0.1,
