"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YAUYOS (000)",9441,30527,27261,,402,89.3,1.3
"De 12 a 14 años (001)",800,4,4,,2,100,50
"De 15 a 19 años (002)",852,149,144,38,96.6,25.5,
"De 20 a 24 años (003)",772,690,666,79,96.5,11.4,
"De 25 a 29 años (004)",810,1352,1306,91,96.6,6.7,
"De 30 a 34 años (005)",812,2113,2012,81,95.2,3.8,
"De 35 a 39 años (006)",795,2612,2497,69,95.6,2.6,
"De 40 a 44 años (007)",722,2944,2774,37,94.2,1.3,
"De 45 a 49 años (008)",610,2928,2714,5,92.7,0.2,
"De 50 y más años (009)",3268,17735,15144,,85.4,,
"Sin nivel (010)",919,5015,4167,11,83.1,0.2,
"De 12 a 14 años (011)",6,,,,,,
"De 15 a 19 años (012)",8,1,1,,100,,
"De 20 a 24 años (013)",10,8,8,,100,,
"De 25 a 29 años (014)",15,43,42,1,97.7,2.3,
"De 30 a 34 años (015)",40,94,89,1,94.7,1.1,
"De 35 a 39 años (016)",56,233,218,4,93.6,1.7,
"De 40 a 44 años (017)",63,312,287,5,92,1.6,
"De 45 a 49 años (018)",39,261,222,,85.1,,
"De 50 y más años (019)",682,4063,3300,,81.2,,
"Primaria (030)",3636,16400,14493,148,88.4,0.9,
"De 12 a 14 años (031)",328,1,1,1,100,100,
"De 15 a 19 años (032)",97,37,33,11,89.2,29.7,
"De 20 a 24 años (033)",94,148,140,20,94.6,13.5,
"De 25 a 29 años (034)",131,357,343,23,96.1,6.4,
"De 30 a 34 años (035)",221,799,748,37,93.6,4.6,
"De 35 a 39 años (036)",251,1076,1017,32,94.5,3,
"De 40 a 44 años (037)",264,1295,1214,19,93.7,1.5,
"De 45 a 49 años (038)",298,1678,1547,5,92.2,0.3,
"De 50 y más años (039)",1952,11009,9450,,85.8,,
"Secundaria (040)",3374,6624,6233,173,94.1,2.6,
"De 12 a 14 años (041)",466,3,3,1,100,33.3,
"De 15 a 19 años (042)",687,105,104,26,99,24.8,
"De 20 a 24 años (043)",409,423,409,43,96.7,10.2,
"De 25 a 29 años (044)",340,672,647,45,96.3,6.7,
"De 30 a 34 años (045)",302,827,788,25,95.3,3,
"De 35 a 39 años (046)",306,944,909,21,96.3,2.2,
