"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia COTABAMBAS (000)",7522,1316,17,2616,1992,240,695,100,546
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",34,,,,8,,7,6,13
"Profes., científicos e intelectuales (002)",952,,,,73,40,372,19,448
"Técnicos de nivel medio ytrab.asimilados (003)",159,,,5,12,25,96,15,6
"Jefes y empleados de oficina (004)",170,,,,66,20,45,10,29
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",445,37,2,141,192,27,23,14,9
"Agricult.trabaj. calif.agrop. y pesquros (006)",2056,539,1,1010,474,10,13,3,6
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",390,55,1,94,153,23,42,11,11
"Obreros. construc., conf., papel, fab., instr (008)",470,34,2,134,233,26,30,9,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",2479,598,11,1109,671,39,37,8,6
"Otra (010)",30,,,,4,11,6,3,6
"Ocupación no especificada (011)",337,53,,123,106,19,24,2,10
"Hombres (012)",5534,722,9,2104,1642,182,453,74,348
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",25,,,,6,,2,6,11
"Profes., científicos e intelectuales (014)",573,,,,51,23,218,9,272
"Técnicos de nivel medio ytrab.asimilados (015)",101,,,1,9,21,55,10,5
"Jefes y empleados de oficina (016)",111,,,,47,13,27,7,17
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",162,5,,46,77,10,11,7,6
"Agricult.trabaj. calif.agrop. y pesquros (018)",1839,397,1,958,452,10,13,3,5
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",323,17,1,77,145,21,41,11,10
"Obreros. construc., conf., papel, fab., instr (020)",453,28,2,128,232,24,29,8,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",1717,260,5,827,543,36,33,8,5
"Otra (022)",30,,,,4,11,6,3,6
"Ocupación no especificada (023)",200,15,,67,76,13,18,2,9
"Mujeres (024)",1988,594,8,512,350,58,242,26,198
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",9,,,,2,,5,,2
"Profes., científicos e intelectuales (026)",379,,,,22,17,154,10,176
"Técnicos de nivel medio ytrab.asimilados (027)",58,,,4,3,4,41,5,1
"Jefes y empleados de oficina (028)",59,,,,19,7,18,3,12
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",283,32,2,95,115,17,12,7,3
"Agricult.trabaj. calif.agrop. y pesquros (030)",217,142,,52,22,,,,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",67,38,,17,8,2,1,,1
"Obreros. construc., conf., papel, fab., instr (032)",17,6,,6,1,2,1,1,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",762,338,6,282,128,3,4,,1
"Ocupación no especificada (035)",137,38,,56,30,6,6,,1
,,,,,,,,,
"URBANA (036)",3456,215,3,770,1080,201,604,95,488
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",29,,,,6,,6,5,12
"Profes., científicos e intelectuales (038)",787,,,,25,29,321,18,394
"Técnicos de nivel medio ytrab.asimilados (039)",139,,,3,11,23,82,14,6
