"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia URUBAMBA (000)",15104,13363,41,2577,2649,2228,3188,1761,742,177,1741,48028
"De 12 a 14 años (001)",20,10,,7,3,,,,,,10,13
"De 15 a 19 años (002)",276,222,1,202,12,3,4,,,,54,251
"De 20 a 24 años (003)",1539,1109,2,744,292,57,12,2,,,430,1563
"De 25 a 29 años (004)",2199,1610,5,602,587,280,121,12,3,,589,3225
"De 30 a 34 años (005)",1898,1739,6,367,564,399,340,55,6,2,159,4581
"De 35 a 39 años (006)",1796,1696,3,196,409,415,500,141,28,4,100,5607
"De 40 a 44 años (007)",1536,1487,6,95,215,334,515,239,72,11,49,6035
"De 45 a 49 años (008)",1272,1219,2,85,147,207,401,255,97,25,53,5494
"De 50 y más años (009)",4568,4271,16,279,420,533,1295,1057,536,135,297,21259
"Sin nivel (010)",3082,3009,15,211,310,390,939,733,345,66,73,14500
"De 15 a 19 años (012)",8,7,,5,2,,,,,,1,9
"De 20 a 24 años (013)",56,49,,13,21,13,1,1,,,7,104
"De 25 a 29 años (014)",133,123,1,19,38,33,28,4,,,10,336
"De 30 a 34 años (015)",139,135,1,18,19,30,51,14,2,,4,477
"De 35 a 39 años (016)",194,190,2,14,23,36,70,37,7,1,4,784
"De 40 a 44 años (017)",201,199,2,6,17,25,78,53,15,3,2,960
"De 45 a 49 años (018)",216,210,1,17,13,19,72,56,28,4,6,1062
"De 50 y más años (019)",2135,2096,8,119,177,234,639,568,293,58,39,10768
"Educacion Inicial (020)",14,12,,,2,3,5,1,1,,2,48
"De 20 a 24 años (023)",1,1,,,1,,,,,,,2
"De 25 a 29 años (024)",7,6,,,1,2,2,,1,,1,24
