"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAROWILCA (000)",11315,11049,3630,1118,941,784,1538,1267,909,862,266,37752
"De 12 a 14 años (001)",1488,1480,1477,2,1,,,,,,8,4
"De 15 a 19 años (002)",1550,1527,1320,177,28,1,1,,,,23,240
"De 20 a 24 años (003)",1154,1073,378,413,184,70,25,3,,,81,1114
"De 25 a 29 años (004)",998,954,123,215,241,184,164,27,,,44,2126
"De 30 a 34 años (005)",945,909,50,90,151,168,319,98,28,5,36,3198
"De 35 a 39 años (006)",904,878,64,50,102,94,259,206,82,21,26,3916
"De 40 a 44 años (007)",833,822,34,39,48,65,201,199,146,90,11,4735
"De 45 a 49 años (008)",718,710,28,22,44,39,124,163,144,146,8,4651
"De 50 y más años (009)",2725,2696,156,110,142,163,445,571,509,600,29,17768
"Conviviente (010)",2979,2921,222,578,512,386,626,342,166,89,58,10088
"De 12 a 14 años (011)",15,7,7,,,,,,,,8,
"De 15 a 19 años (012)",208,190,61,107,21,1,,,,,18,152
"De 20 a 24 años (013)",531,519,50,246,146,58,19,,,,12,790
"De 25 a 29 años (014)",578,575,24,120,167,129,117,18,,,3,1457
"De 30 a 34 años (015)",520,513,14,45,82,103,195,55,17,2,7,1892
"De 35 a 39 años (016)",392,390,18,15,43,50,125,94,38,7,2,1794
"De 40 a 44 años (017)",293,291,13,24,14,19,81,76,47,17,2,1543
"De 45 a 49 años (018)",157,156,7,6,13,6,35,37,26,26,1,952
"De 50 y más años (019)",285,280,28,15,26,20,54,62,38,37,5,1508
"Separado(a) (020)",484,477,14,174,100,48,64,46,20,11,7,1379
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",29,28,,25,3,,,,,,1,31
"De 20 a 24 años (023)",87,85,2,66,15,2,,,,,2,102
