"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SAN ROMAN (000)",182249,27935,41700,41014,31208,20058,20334
"Católica (001)",154151,23808,34680,34840,26920,17077,16826
"Cristiana/Evangélica (002)",11334,1644,2726,2440,1716,1291,1517
"Otra (003)",11512,1655,2757,2376,1825,1272,1627
"Ninguna (004)",5252,828,1537,1358,747,418,364
"Hombres (006)",88450,14131,20546,19267,14796,9764,9946
"Católica (007)",74469,12013,16941,16180,12733,8308,8294
"Cristiana/Evangélica (008)",5433,824,1344,1149,809,598,709
"Otra (009)",5488,814,1375,1128,825,604,742
"Ninguna (010)",3060,480,886,810,429,254,201
"Mujeres (012)",93799,13804,21154,21747,16412,10294,10388
"Católica (013)",79682,11795,17739,18660,14187,8769,8532
"Cristiana/Evangélica (014)",5901,820,1382,1291,907,693,808
"Otra (015)",6024,841,1382,1248,1000,668,885
"Ninguna (016)",2192,348,651,548,318,164,163
,,,,,,,
"URBANA (018)",167225,25636,38962,38646,29141,18279,16561
"Católica (019)",140853,21740,32258,32746,25089,15505,13515
"Cristiana/Evangélica (020)",10477,1528,2581,2311,1608,1174,1275
"Otra (021)",10786,1568,2622,2247,1721,1192,1436
"Ninguna (022)",5109,800,1501,1342,723,408,335
"Hombres (024)",81445,12991,19232,18146,13860,8999,8217
"Católica (025)",68237,10976,15761,15193,11908,7634,6765
"Cristiana/Evangélica (026)",5052,767,1284,1089,755,545,612
"Otra (027)",5169,785,1317,1063,779,572,653
"Ninguna (028)",2987,463,870,801,418,248,187
"Mujeres (030)",85780,12645,19730,20500,15281,9280,8344
"Católica (031)",72616,10764,16497,17553,13181,7871,6750
"Cristiana/Evangélica (032)",5425,761,1297,1222,853,629,663
"Otra (033)",5617,783,1305,1184,942,620,783
"Ninguna (034)",2122,337,631,541,305,160,148
,,,,,,,
"RURAL (036)",15024,2299,2738,2368,2067,1779,3773
"Católica (037)",13298,2068,2422,2094,1831,1572,3311
"Cristiana/Evangélica (038)",857,116,145,129,108,117,242
"Otra (039)",726,87,135,129,104,80,191
"Ninguna (040)",143,28,36,16,24,10,29
"Hombres (042)",7005,1140,1314,1121,936,765,1729
"Católica (043)",6232,1037,1180,987,825,674,1529
"Cristiana/Evangélica (044)",381,57,60,60,54,53,97
"Otra (045)",319,29,58,65,46,32,89
"Ninguna (046)",73,17,16,9,11,6,14
"Mujeres (048)",8019,1159,1424,1247,1131,1014,2044
"Católica (049)",7066,1031,1242,1107,1006,898,1782
"Cristiana/Evangélica (050)",476,59,85,69,54,64,145
"Otra (051)",407,58,77,64,58,48,102
"Ninguna (052)",70,11,20,7,13,4,15
