"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ILO (000)",26126,15237,3048,3525,4316
"Agric., ganadería, caza y silvicultura (001)",298,238,32,20,8
"Pesca (002)",2156,1147,611,322,76
"Explotación de minas y canteras (003)",979,46,58,138,737
"Industrias manufactureras (004)",1971,1089,271,334,277
"Suministro de electricidad, gas y agua (005)",199,14,6,70,109
"Construcción (006)",2391,1362,359,466,204
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5599,4815,403,247,134
"Venta, mant.y rep. veh.autom y motoc. (008)",841,470,112,146,113
"Comercio al por mayor (009)",294,182,55,36,21
"Comercio al por menor (010)",4464,4163,236,65,
"Hoteles y restaurantes (011)",1666,1457,131,69,9
"Trans., almac. y comunicaciones (012)",2652,1854,257,375,166
"Intermediación financiera (013)",235,33,39,146,17
"Activid.inmobil., empres. y alquileres (014)",1857,823,302,422,310
"Admin.pub. y defensa; p. segur soc.afil (015)",1337,,,,1337
"Enseñanza (016)",1420,225,229,623,343
"Servicios sociales y de salud (017)",618,182,32,24,380
"Otras activ. serv.comun.soc y personales (018)",856,586,137,99,34
"Hogares privados con servicio doméstico (019)",648,648,,,
"Actividad economica no especificada (021)",1244,718,181,170,175
"Hombres (022)",16445,8528,2272,2522,3123
"Agric., ganadería, caza y silvicultura (023)",195,156,23,11,5
"Pesca (024)",2085,1116,598,307,64
"Explotación de minas y canteras (025)",935,40,53,131,711
"Industrias manufactureras (026)",1545,785,234,296,230
"Suministro de electricidad, gas y agua (027)",177,14,4,63,96
"Construcción (028)",2300,1333,341,435,191
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2443,1898,225,196,124
"Venta, mant.y rep. veh.autom y motoc. (030)",788,437,103,139,109
"Comercio al por mayor (031)",149,83,24,27,15
"Comercio al por menor (032)",1506,1378,98,30,
"Hoteles y restaurantes (033)",389,298,57,30,4
"Trans., almac. y comunicaciones (034)",2336,1642,218,329,147
"Intermediación financiera (035)",105,19,20,59,7
"Activid.inmobil., empres. y alquileres (036)",1323,528,225,332,238
"Admin.pub. y defensa; p. segur soc.afil (037)",919,,,,919
"Enseñanza (038)",421,55,68,157,141
"Servicios sociales y de salud (039)",157,39,8,5,105
"Otras activ. serv.comun.soc y personales (040)",404,252,81,48,23
