"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CONDESUYOS (000)",5412,17146,2403,7555,3009,9591
"Casa independiente (001)",4210,13482,2321,7350,1889,6132
"Vivienda en quinta (003)",12,38,12,38,,
"Vivienda en casa de vecindad (004)",50,127,50,127,,
"Choza o cabaña (005)",1114,3440,,,1114,3440
"Vivienda improvisada (006)",12,30,12,30,,
"Local no dest.para hab. humana (007)",13,26,8,10,5,16
"Otro tipo (008)",1,3,,,1,3
