"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANGALLO (000)",13091,12761,3483,1484,1363,1115,1900,1501,1030,885,330,44274
"De 12 a 14 años (001)",1350,1343,1339,3,1,,,,,,7,5
"De 15 a 19 años (002)",1604,1567,1330,216,17,3,1,,,,37,263
"De 20 a 24 años (003)",1247,1153,330,488,250,66,17,2,,,94,1268
"De 25 a 29 años (004)",1158,1091,97,277,380,202,120,10,5,,67,2253
"De 30 a 34 años (005)",1124,1086,69,157,253,235,280,73,14,5,38,3206
"De 35 a 39 años (006)",1003,984,38,80,148,201,323,144,35,15,19,3755
"De 40 a 44 años (007)",933,923,40,60,69,125,261,226,114,28,10,4486
"De 45 a 49 años (008)",779,766,22,36,47,66,188,179,147,81,13,4455
"De 50 y más años (009)",3893,3848,218,167,198,217,710,867,715,756,45,24583
"Conviviente (010)",1848,1779,164,569,446,237,223,83,30,27,69,4216
"De 12 a 14 años (011)",12,7,6,1,,,,,,,5,1
"De 15 a 19 años (012)",220,188,62,113,10,3,,,,,32,142
"De 20 a 24 años (013)",469,448,46,239,122,33,8,,,,21,614
"De 25 a 29 años (014)",421,414,19,129,159,66,35,3,3,,7,836
"De 30 a 34 años (015)",272,270,7,44,90,54,61,13,,1,2,739
"De 35 a 39 años (016)",150,149,2,18,34,46,36,12,,1,1,469
"De 40 a 44 años (017)",105,105,6,10,19,22,29,13,4,2,,383
"De 45 a 49 años (018)",64,64,4,5,7,7,20,10,6,5,,295
"De 50 y más años (019)",135,134,12,10,5,6,34,32,17,18,1,737
"Separado(a) (020)",390,381,7,118,74,55,75,31,15,6,9,1158
"De 12 a 14 años (021)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (022)",22,20,,19,1,,,,,,2,21
"De 20 a 24 años (023)",48,45,1,33,9,1,1,,,,3,58
