"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUARI (000)",15680,54,1487,636,608,995,3935,1115,1074,5101,45,630
"Agric., ganadería, caza y silvicultura (001)",6528,,5,20,2,,3933,1,2,2565,,
"Pesca (002)",4,,,,,,2,,,2,,
"Explotación de minas y canteras (003)",1066,2,50,151,59,,,448,144,212,,
"Industrias manufactureras (004)",377,,1,21,2,10,,307,30,6,,
"Suministro de electricidad, gas y agua (005)",81,,1,4,3,,,14,18,41,,
"Construcción (006)",1790,,57,62,41,,,78,547,1005,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1071,,10,47,11,617,,205,9,172,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",174,,4,18,7,24,,107,4,10,,
"Comercio al por mayor (009)",43,,1,4,2,31,,,2,3,,
"Comercio al por menor (010)",854,,5,25,2,562,,98,3,159,,
"Hoteles y restaurantes (011)",420,,2,23,6,269,,,1,119,,
"Trans., almac. y comunicaciones (012)",333,,3,19,19,5,,5,244,38,,
"Intermediación financiera (013)",7,,4,1,2,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",555,,66,90,165,47,,38,33,116,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",657,38,24,34,195,17,,5,31,268,45,
"Enseñanza (016)",1259,14,1170,6,45,,,1,3,20,,
"Servicios sociales y de salud (017)",234,,71,103,23,16,,1,4,16,,
"Otras activ. serv.comun.soc y personales (018)",442,,23,52,33,14,,12,8,300,,
"Hogares privados con servicio doméstico (019)",221,,,,,,,,,221,,
"Actividad economica no especificada (021)",635,,,3,2,,,,,,,630
"Hombres (022)",12857,44,914,509,421,462,3770,1076,1053,4313,43,252
"Agric., ganadería, caza y silvicultura (023)",6088,,5,19,2,,3768,1,2,2291,,
"Pesca (024)",4,,,,,,2,,,2,,
"Explotación de minas y canteras (025)",1029,2,39,148,47,,,442,141,210,,
"Industrias manufactureras (026)",338,,1,19,2,6,,278,27,5,,
"Suministro de electricidad, gas y agua (027)",79,,1,4,3,,,12,18,41,,
"Construcción (028)",1719,,50,60,30,,,77,538,964,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",650,,7,40,8,279,,205,8,103,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",170,,4,17,6,22,,107,4,10,,
"Comercio al por mayor (031)",24,,,3,1,16,,,1,3,,
"Comercio al por menor (032)",456,,3,20,1,241,,98,3,90,,
"Hoteles y restaurantes (033)",162,,,12,4,101,,,1,44,,
"Trans., almac. y comunicaciones (034)",305,,3,14,12,3,,5,239,29,,
"Intermediación financiera (035)",5,,3,1,1,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",497,,50,79,138,47,,38,33,112,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",538,32,20,31,122,16,,4,31,239,43,
"Enseñanza (038)",749,10,690,2,27,,,1,3,16,,
"Servicios sociales y de salud (039)",93,,29,36,10,7,,1,4,6,,
"Otras activ. serv.comun.soc y personales (040)",329,,16,41,14,3,,12,8,235,,
"Hogares privados con servicio doméstico (041)",16,,,,,,,,,16,,
"Actividad economica no especificada (043)",256,,,3,1,,,,,,,252
"Mujeres (044)",2823,10,573,127,187,533,165,39,21,788,2,378
"Agric., ganadería, caza y silvicultura (045)",440,,,1,,,165,,,274,,
"Explotación de minas y canteras (047)",37,,11,3,12,,,6,3,2,,
"Industrias manufactureras (048)",39,,,2,,4,,29,3,1,,
"Suministro de electricidad, gas y agua (049)",2,,,,,,,2,,,,
"Construcción (050)",71,,7,2,11,,,1,9,41,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",421,,3,7,3,338,,,1,69,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",4,,,1,1,2,,,,,,
"Comercio al por mayor (053)",19,,1,1,1,15,,,1,,,
"Comercio al por menor (054)",398,,2,5,1,321,,,,69,,
"Hoteles y restaurantes (055)",258,,2,11,2,168,,,,75,,
"Trans., almac. y comunicaciones (056)",28,,,5,7,2,,,5,9,,
"Intermediación financiera (057)",2,,1,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",58,,16,11,27,,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",119,6,4,3,73,1,,1,,29,2,
"Enseñanza (060)",510,4,480,4,18,,,,,4,,
"Servicios sociales y de salud (061)",141,,42,67,13,9,,,,10,,
"Otras activ. serv.comun.soc y personales (062)",113,,7,11,19,11,,,,65,,
"Hogares privados con servicio doméstico (063)",205,,,,,,,,,205,,
"Actividad economica no especificada (065)",379,,,,1,,,,,,,378
,,,,,,,,,,,,
"URBANA (066)",6172,42,1156,260,328,689,986,247,431,1669,42,322
"Agric., ganadería, caza y silvicultura (067)",1653,,5,9,1,,985,1,,652,,
"Pesca (068)",1,,,,,,1,,,,,
"Explotación de minas y canteras (069)",40,,1,2,3,,,17,5,12,,
"Industrias manufactureras (070)",173,,1,6,,7,,141,16,2,,
"Suministro de electricidad, gas y agua (071)",16,,,,1,,,6,8,1,,
"Construcción (072)",647,,20,16,16,,,15,239,341,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",679,,4,14,5,471,,51,3,131,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",47,,,1,2,7,,33,1,3,,
"Comercio al por mayor (075)",35,,1,2,2,26,,,2,2,,
"Comercio al por menor (076)",597,,3,11,1,438,,18,,126,,
"Hoteles y restaurantes (077)",262,,2,17,4,156,,,,83,,
"Trans., almac. y comunicaciones (078)",179,,2,9,11,4,,1,131,21,,
"Intermediación financiera (079)",5,,4,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (080)",174,,46,33,47,11,,8,7,22,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",394,31,20,31,159,13,,4,18,76,42,
"Enseñanza (082)",1040,11,973,4,36,,,,1,15,,
"Servicios sociales y de salud (083)",185,,57,84,18,13,,1,2,10,,
"Otras activ. serv.comun.soc y personales (084)",252,,21,33,27,14,,2,1,154,,
"Hogares privados con servicio doméstico (085)",149,,,,,,,,,149,,
"Actividad economica no especificada (087)",323,,,1,,,,,,,,322
