"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CANCHIS (000)",26349,161,679,1566,2910,5504,8822,6707
"De 12 a 14 años (001)",32,,,,,,1,31
"De 15 a 19 años (002)",510,,,,,,281,229
"De 20 a 24 años (003)",2503,,,,,4,1302,1197
"De 25 a 29 años (004)",3167,,,,,112,1933,1122
"De 30 a 34 años (005)",3173,,,,,541,1924,708
"De 35 a 39 años (006)",3175,,,,22,985,1686,482
"De 40 a 44 años (007)",2856,,,,128,1215,1109,404
"De 45 a 49 años (008)",2317,,,9,346,1136,493,333
"De 50 y más años (009)",8616,161,679,1557,2414,1511,93,2201
"Sin nivel (010)",7469,137,521,1111,1488,1260,1010,1942
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",22,,,,,,12,10
"De 20 a 24 años (013)",99,,,,,1,56,42
"De 25 a 29 años (014)",166,,,,,8,110,48
"De 30 a 34 años (015)",285,,,,,36,187,62
"De 35 a 39 años (016)",363,,,,6,84,229,44
"De 40 a 44 años (017)",489,,,,18,177,223,71
"De 45 a 49 años (018)",527,,,1,56,244,147,79
"De 50 y más años (019)",5517,137,521,1110,1408,710,46,1585
"Educacion Inicial (020)",53,,,,,3,33,17
"De 15 a 19 años (022)",2,,,,,,1,1
"De 20 a 24 años (023)",13,,,,,,8,5
"De 25 a 29 años (024)",17,,,,,,11,6
"De 30 a 34 años (025)",13,,,,,2,6,5
"De 35 a 39 años (026)",8,,,,,1,7,
"Primaria (030)",8879,19,116,315,965,2421,3471,1572
"De 12 a 14 años (031)",11,,,,,,,11
"De 15 a 19 años (032)",129,,,,,,91,38
"De 20 a 24 años (033)",565,,,,,,381,184
"De 25 a 29 años (034)",914,,,,,32,663,219
"De 30 a 34 años (035)",1123,,,,,193,743,187
"De 35 a 39 años (036)",1359,,,,7,446,734,172
"De 40 a 44 años (037)",1375,,,,59,561,579,176
"De 45 a 49 años (038)",1106,,,4,163,563,243,133
"De 50 y más años (039)",2297,19,116,311,736,626,37,452
"Secundaria (040)",5494,5,31,80,254,1059,2653,1412
"De 12 a 14 años (041)",20,,,,,,1,19
"De 15 a 19 años (042)",328,,,,,,164,164
"De 20 a 24 años (043)",1033,,,,,3,606,424
"De 25 a 29 años (044)",1070,,,,,47,703,320
"De 30 a 34 años (045)",934,,,,,198,557,179
"De 35 a 39 años (046)",783,,,,7,272,397,107
"De 40 a 44 años (047)",519,,,,31,258,165,65
"De 45 a 49 años (048)",370,,,2,79,188,53,48
"De 50 y más años (049)",437,5,31,78,137,93,7,86
"Sup. no Univ. incompleta (050)",963,,1,8,22,119,392,421
