"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LA CONVENCION (000)",120544,19184,23394,25254,21234,14591,16887
"Conviviente (001)",45312,692,8557,15777,11672,5436,3178
"Separado(a) (002)",3542,47,436,815,959,697,588
"Casado(a) (003)",25313,62,572,3390,6225,6593,8471
"Viudo(a) (004)",5213,3,52,137,481,853,3687
"Divorciado(a) (005)",536,,18,52,119,141,206
"Soltero(a) (006)",40628,18380,13759,5083,1778,871,757
"Hombres (008)",64639,10001,12548,13338,11266,8021,9465
"Conviviente (009)",22618,243,2897,7859,6366,3276,1977
"Separado(a) (010)",1432,4,50,233,419,367,359
"Casado(a) (011)",13037,24,194,1431,2951,3382,5055
"Viudo(a) (012)",1857,3,11,45,153,277,1368
"Divorciado(a) (013)",311,,6,18,69,82,136
"Soltero(a) (014)",25384,9727,9390,3752,1308,637,570
"Mujeres (016)",55905,9183,10846,11916,9968,6570,7422
"Conviviente (017)",22694,449,5660,7918,5306,2160,1201
"Separado(a) (018)",2110,43,386,582,540,330,229
"Casado(a) (019)",12276,38,378,1959,3274,3211,3416
"Viudo(a) (020)",3356,,41,92,328,576,2319
"Divorciado(a) (021)",225,,12,34,50,59,70
"Soltero(a) (022)",15244,8653,4369,1331,470,234,187
,,,,,,,
"URBANA (024)",37564,6487,7387,8180,6907,4334,4269
"Conviviente (025)",12644,206,2256,4725,3505,1323,629
"Separado(a) (026)",1294,12,136,346,402,237,161
"Casado(a) (027)",8128,27,163,1149,2197,2201,2391
"Viudo(a) (028)",1225,1,12,39,135,208,830
"Divorciado(a) (029)",229,,4,26,56,69,74
"Soltero(a) (030)",14044,6241,4816,1895,612,296,184
"Hombres (032)",18837,3224,3698,3946,3437,2269,2263
"Conviviente (033)",6067,101,724,2165,1873,805,399
"Separado(a) (034)",385,1,10,82,133,87,72
"Casado(a) (035)",4066,10,61,458,1015,1113,1409
"Viudo(a) (036)",325,1,1,9,26,48,240
"Divorciado(a) (037)",116,,2,10,27,35,42
"Soltero(a) (038)",7878,3111,2900,1222,363,181,101
"Mujeres (040)",18727,3263,3689,4234,3470,2065,2006
"Conviviente (041)",6577,105,1532,2560,1632,518,230
"Separado(a) (042)",909,11,126,264,269,150,89
"Casado(a) (043)",4062,17,102,691,1182,1088,982
"Viudo(a) (044)",900,,11,30,109,160,590
"Divorciado(a) (045)",113,,2,16,29,34,32
"Soltero(a) (046)",6166,3130,1916,673,249,115,83
,,,,,,,
"RURAL (048)",82980,12697,16007,17074,14327,10257,12618
"Conviviente (049)",32668,486,6301,11052,8167,4113,2549
"Separado(a) (050)",2248,35,300,469,557,460,427
"Casado(a) (051)",17185,35,409,2241,4028,4392,6080
"Viudo(a) (052)",3988,2,40,98,346,645,2857
"Divorciado(a) (053)",307,,14,26,63,72,132
"Soltero(a) (054)",26584,12139,8943,3188,1166,575,573
"Hombres (056)",45802,6777,8850,9392,7829,5752,7202
"Conviviente (057)",16551,142,2173,5694,4493,2471,1578
"Separado(a) (058)",1047,3,40,151,286,280,287
"Casado(a) (059)",8971,14,133,973,1936,2269,3646
"Viudo(a) (060)",1532,2,10,36,127,229,1128
"Divorciado(a) (061)",195,,4,8,42,47,94
"Soltero(a) (062)",17506,6616,6490,2530,945,456,469
"Mujeres (064)",37178,5920,7157,7682,6498,4505,5416
"Conviviente (065)",16117,344,4128,5358,3674,1642,971
"Separado(a) (066)",1201,32,260,318,271,180,140
"Casado(a) (067)",8214,21,276,1268,2092,2123,2434
"Viudo(a) (068)",2456,,30,62,219,416,1729
"Divorciado(a) (069)",112,,10,18,21,25,38
"Soltero(a) (070)",9078,5523,2453,658,221,119,104
