"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia ACOMAYO (000)",27357,13514,13843,14460,7101,7359,12897,6413,6484
"Menores de 1 año (001)",548,288,260,254,135,119,294,153,141
"Menores de 1 mes (002)",51,25,26,22,11,11,29,14,15
"De 1 a 11 meses (003)",497,263,234,232,124,108,265,139,126
"De 1 a 4 años (004)",2807,1398,1409,1386,676,710,1421,722,699
"1 año (005)",616,303,313,288,141,147,328,162,166
"2 años (006)",744,368,376,369,180,189,375,188,187
"3 años (007)",672,323,349,353,168,185,319,155,164
"4 años (008)",775,404,371,376,187,189,399,217,182
"De 5 a 9 años (009)",3906,2019,1887,1962,1029,933,1944,990,954
"5 años (010)",754,400,354,392,210,182,362,190,172
"6 años (011)",736,388,348,372,189,183,364,199,165
"7 años (012)",854,434,420,416,229,187,438,205,233
"8 años (013)",834,424,410,416,208,208,418,216,202
"9 años (014)",728,373,355,366,193,173,362,180,182
"De 10 a 14 años (015)",3781,1922,1859,2001,1017,984,1780,905,875
"10 años (016)",806,397,409,418,210,208,388,187,201
"11 años (017)",707,353,354,375,185,190,332,168,164
"12 años (018)",833,447,386,420,226,194,413,221,192
"13 años (019)",770,390,380,425,213,212,345,177,168
"14 años (020)",665,335,330,363,183,180,302,152,150
"De 15 a 19 años (021)",2221,1222,999,1199,650,549,1022,572,450
"15 años (022)",552,289,263,320,168,152,232,121,111
"16 años (023)",449,239,210,252,135,117,197,104,93
"17 años (024)",514,294,220,278,150,128,236,144,92
"18 años (025)",415,240,175,199,117,82,216,123,93
"19 años (026)",291,160,131,150,80,70,141,80,61
"De 20 a 24 años (027)",1503,721,782,761,357,404,742,364,378
"20 años (028)",326,175,151,162,82,80,164,93,71
"21 años (029)",239,127,112,123,60,63,116,67,49
"22 años (030)",317,127,190,164,67,97,153,60,93
"23 años (031)",305,143,162,161,77,84,144,66,78
"24 años (032)",316,149,167,151,71,80,165,78,87
"De 25 a 29 años (033)",1581,765,816,805,389,416,776,376,400
"25 años (034)",347,168,179,178,88,90,169,80,89
"26 años (035)",303,150,153,154,76,78,149,74,75
"27 años (036)",336,172,164,187,100,87,149,72,77
"28 años (037)",336,153,183,167,77,90,169,76,93
"29 años (038)",259,122,137,119,48,71,140,74,66
"De 30 a 34 años (039)",1654,818,836,876,433,443,778,385,393
"30 años (040)",401,202,199,212,99,113,189,103,86
"31 años (041)",261,131,130,126,70,56,135,61,74
"32 años (042)",313,152,161,172,84,88,141,68,73
"33 años (043)",353,168,185,193,94,99,160,74,86
"34 años (044)",326,165,161,173,86,87,153,79,74
"De 35 a 39 años (045)",1729,854,875,912,443,469,817,411,406
"35 años (046)",352,181,171,170,88,82,182,93,89
