"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PADRE ABAD (000)",19641,2647,3947,9890,528,2278,351
"Sin nivel (001)",1005,27,183,587,17,171,20
"Educación inicial (002)",17,2,3,8,,3,1
"Primaria (003)",8220,283,1633,4763,236,1147,158
"Secundaria (004)",7755,839,1842,3818,219,878,159
"Superior no univ. incompleta (005)",685,244,118,274,15,27,7
"Superior no univ. completa (006)",822,543,77,168,10,20,4
"Superior univ. incompleta (007)",397,148,68,149,14,17,1
"Superior univ. completa (008)",740,561,23,123,17,15,1
"Hombres (010)",14903,1679,3409,8116,436,1217,46
"Sin nivel (011)",595,7,114,409,14,47,4
"Educación inicial (012)",8,,3,4,,1,
"Primaria (013)",6214,114,1355,3982,198,544,21
"Secundaria (014)",6188,542,1674,3189,182,583,18
"Superior no univ. incompleta (015)",520,175,108,210,12,14,1
"Superior no univ. completa (016)",580,369,74,119,6,11,1
"Superior univ. incompleta (017)",280,92,62,104,11,11,
"Superior univ. completa (018)",518,380,19,99,13,6,1
"Mujeres (020)",4738,968,538,1774,92,1061,305
"Sin nivel (021)",410,20,69,178,3,124,16
"Educación inicial (022)",9,2,,4,,2,1
"Primaria (023)",2006,169,278,781,38,603,137
"Secundaria (024)",1567,297,168,629,37,295,141
"Superior no univ. incompleta (025)",165,69,10,64,3,13,6
"Superior no univ. completa (026)",242,174,3,49,4,9,3
"Superior univ. incompleta (027)",117,56,6,45,3,6,1
"Superior univ. completa (028)",222,181,4,24,4,9,
,,,,,,,
"URBANA (030)",10504,2326,2338,4579,298,727,236
"Sin nivel (031)",334,24,81,175,5,37,12
"Educación inicial (032)",8,1,2,3,,1,1
"Primaria (033)",3293,231,810,1746,100,306,100
"Secundaria (034)",4620,734,1205,2087,146,333,115
"Superior no univ. incompleta (035)",546,213,99,204,11,16,3
"Superior no univ. completa (036)",718,486,68,138,9,14,3
"Superior univ. incompleta (037)",328,129,50,125,13,10,1
"Superior univ. completa (038)",657,508,23,101,14,10,1
"Hombres (040)",7558,1499,2038,3420,228,346,27
"Sin nivel (041)",167,6,52,94,5,8,2
"Educación inicial (042)",3,,2,,,1,
"Primaria (043)",2266,92,670,1298,70,124,12
"Secundaria (044)",3499,473,1089,1618,118,190,11
"Superior no univ. incompleta (045)",425,158,95,155,9,8,
"Superior no univ. completa (046)",513,341,66,92,6,7,1
"Superior univ. incompleta (047)",227,84,45,83,10,5,
"Superior univ. completa (048)",458,345,19,80,10,3,1
"Mujeres (050)",2946,827,300,1159,70,381,209
"Sin nivel (051)",167,18,29,81,,29,10
"Educación inicial (052)",5,1,,3,,,1
"Primaria (053)",1027,139,140,448,30,182,88
"Secundaria (054)",1121,261,116,469,28,143,104
"Superior no univ. incompleta (055)",121,55,4,49,2,8,3
"Superior no univ. completa (056)",205,145,2,46,3,7,2
"Superior univ. incompleta (057)",101,45,5,42,3,5,1
"Superior univ. completa (058)",199,163,4,21,4,7,
,,,,,,,
"RURAL (060)",9137,321,1609,5311,230,1551,115
"Sin nivel (061)",671,3,102,412,12,134,8
"Educación inicial (062)",9,1,1,5,,2,
"Primaria (063)",4927,52,823,3017,136,841,58
"Secundaria (064)",3135,105,637,1731,73,545,44
"Superior no univ. incompleta (065)",139,31,19,70,4,11,4
"Superior no univ. completa (066)",104,57,9,30,1,6,1
"Superior univ. incompleta (067)",69,19,18,24,1,7,
"Superior univ. completa (068)",83,53,,22,3,5,
"Hombres (070)",7345,180,1371,4696,208,871,19
"Sin nivel (071)",428,1,62,315,9,39,2
"Educación inicial (072)",5,,1,4,,,
"Primaria (073)",3948,22,685,2684,128,420,9
"Secundaria (074)",2689,69,585,1571,64,393,7
"Superior no univ. incompleta (075)",95,17,13,55,3,6,1
"Superior no univ. completa (076)",67,28,8,27,,4,
"Superior univ. incompleta (077)",53,8,17,21,1,6,
"Superior univ. completa (078)",60,35,,19,3,3,
"Mujeres (080)",1792,141,238,615,22,680,96
"Sin nivel (081)",243,2,40,97,3,95,6
"Educación inicial (082)",4,1,,1,,2,
"Primaria (083)",979,30,138,333,8,421,49
"Secundaria (084)",446,36,52,160,9,152,37
"Superior no univ. incompleta (085)",44,14,6,15,1,5,3
"Superior no univ. completa (086)",37,29,1,3,1,2,1
"Superior univ. incompleta (087)",16,11,1,3,,1,
"Superior univ. completa (088)",23,18,,3,,2,
