"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUCUITO (000)",46602,44605,15855,5584,5684,4449,6396,3880,1875,882,1997,108888
"De 12 a 14 años (001)",4381,4361,4352,6,3,,,,,,20,12
"De 15 a 19 años (002)",6484,6382,5765,523,83,9,2,,,,102,724
"De 20 a 24 años (003)",5680,5108,2478,1567,812,201,42,8,,,572,4021
"De 25 a 29 años (004)",5257,4707,1078,1276,1338,697,293,22,3,,550,7440
"De 30 a 34 años (005)",4109,3839,536,650,1022,796,692,120,17,6,270,9026
"De 35 a 39 años (006)",3888,3746,368,452,766,759,1012,314,63,12,142,11322
"De 40 a 44 años (007)",3175,3093,259,250,471,520,936,482,148,27,82,11516
"De 45 a 49 años (008)",2810,2748,177,213,350,395,814,516,223,60,62,11555
"De 50 y más años (009)",10818,10621,842,647,839,1072,2605,2418,1421,777,197,53272
"Conviviente (010)",8077,7766,1364,2561,1881,946,676,226,78,34,311,14570
"De 12 a 14 años (011)",43,29,26,3,,,,,,,14,3
"De 15 a 19 años (012)",867,784,347,377,56,3,1,,,,83,502
"De 20 a 24 años (013)",2117,2032,399,1023,487,103,19,1,,,85,2388
"De 25 a 29 años (014)",1982,1921,267,645,634,278,88,8,1,,61,3173
"De 30 a 34 años (015)",1114,1078,107,252,311,237,136,28,4,3,36,2409
"De 35 a 39 años (016)",822,811,78,139,219,158,170,35,12,,11,2113
"De 40 a 44 años (017)",445,437,51,48,102,75,98,50,11,2,8,1337
"De 45 a 49 años (018)",233,226,22,26,35,48,55,33,6,1,7,759
"De 50 y más años (019)",454,448,67,48,37,44,109,71,44,28,6,1886
"Separado(a) (020)",1097,1043,93,359,219,127,146,56,24,19,54,2597
"De 12 a 14 años (021)",2,2,1,1,,,,,,,,1
"De 15 a 19 años (022)",35,30,5,23,2,,,,,,5,27
