"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BOLOGNESI (000)",28998,1294,3351,3446,2654,4841,4163,6408,2841
"Sabe leer y escribir (001)",25147,,2548,3386,2610,4741,4025,5782,2055
"No sabe leer y escribir (002)",3851,1294,803,60,44,100,138,626,786
"Hombres (004)",15113,653,1729,1778,1398,2627,2264,3306,1358
"Sabe leer y escribir (005)",13709,,1308,1749,1371,2601,2229,3198,1253
"No sabe leer y escribir (006)",1404,653,421,29,27,26,35,108,105
"Mujeres (008)",13885,641,1622,1668,1256,2214,1899,3102,1483
"Sabe leer y escribir (009)",11438,,1240,1637,1239,2140,1796,2584,802
"No sabe leer y escribir (010)",2447,641,382,31,17,74,103,518,681
,,,,,,,,,
"URBANA (012)",18349,782,2097,2249,1791,2941,2627,4072,1790
"Sabe leer y escribir (013)",16255,,1646,2236,1779,2906,2564,3769,1355
"No sabe leer y escribir (014)",2094,782,451,13,12,35,63,303,435
"Hombres (016)",9300,405,1101,1139,947,1512,1338,2040,818
"Sabe leer y escribir (017)",8520,,861,1132,940,1502,1320,1993,772
"No sabe leer y escribir (018)",780,405,240,7,7,10,18,47,46
"Mujeres (020)",9049,377,996,1110,844,1429,1289,2032,972
"Sabe leer y escribir (021)",7735,,785,1104,839,1404,1244,1776,583
"No sabe leer y escribir (022)",1314,377,211,6,5,25,45,256,389
,,,,,,,,,
"RURAL (024)",10649,512,1254,1197,863,1900,1536,2336,1051
"Sabe leer y escribir (025)",8892,,902,1150,831,1835,1461,2013,700
"No sabe leer y escribir (026)",1757,512,352,47,32,65,75,323,351
"Hombres (028)",5813,248,628,639,451,1115,926,1266,540
"Sabe leer y escribir (029)",5189,,447,617,431,1099,909,1205,481
"No sabe leer y escribir (030)",624,248,181,22,20,16,17,61,59
"Mujeres (032)",4836,264,626,558,412,785,610,1070,511
"Sabe leer y escribir (033)",3703,,455,533,400,736,552,808,219
"No sabe leer y escribir (034)",1133,264,171,25,12,49,58,262,292
