"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHICLAYO (000)",308939,663403,615545,,11046,92.8,1.7
"De 12 a 14 años (001)",23808,95,87,,8,91.6,8.4
"De 15 a 19 años (002)",39891,3937,3845,1074,97.7,27.3,
"De 20 a 24 años (003)",35937,19777,19486,2704,98.5,13.7,
"De 25 a 29 años (004)",32229,37306,36609,2762,98.1,7.4,
"De 30 a 34 años (005)",30601,55057,53793,2401,97.7,4.4,
"De 35 a 39 años (006)",28907,67558,65752,1474,97.3,2.2,
"De 40 a 44 años (007)",25630,72179,69498,555,96.3,0.8,
"De 45 a 49 años (008)",22013,70735,67262,68,95.1,0.1,
"De 50 y más años (009)",69923,336759,299213,,88.9,,
"Sin nivel (010)",22720,119476,102070,341,85.4,0.3,
"De 12 a 14 años (011)",272,6,6,,100,,
"De 15 a 19 años (012)",436,73,72,10,98.6,13.7,
"De 20 a 24 años (013)",528,451,437,46,96.9,10.2,
"De 25 a 29 años (014)",578,834,815,53,97.7,6.4,
"De 30 a 34 años (015)",1268,2810,2708,100,96.4,3.6,
"De 35 a 39 años (016)",1427,4335,4145,73,95.6,1.7,
"De 40 a 44 años (017)",1661,6190,5783,49,93.4,0.8,
"De 45 a 49 años (018)",1764,7735,7140,10,92.3,0.1,
"De 50 y más años (019)",14786,97042,80964,,83.4,,
"Educacion Inicial (020)",439,430,418,17,97.2,4,
"De 12 a 14 años (021)",117,1,1,1,100,100,
"De 15 a 19 años (022)",69,14,14,2,100,14.3,
"De 20 a 24 años (023)",75,50,49,3,98,6,
"De 25 a 29 años (024)",79,136,132,5,97.1,3.7,
"De 30 a 34 años (025)",66,148,144,5,97.3,3.4,
"De 35 a 39 años (026)",33,81,78,1,96.3,1.2,
"Primaria (030)",72965,235261,215934,2186,91.8,0.9,
"De 12 a 14 años (031)",9125,39,34,3,87.2,7.7,
"De 15 a 19 años (032)",4207,856,842,203,98.4,23.7,
"De 20 a 24 años (033)",4127,4282,4201,513,98.1,12,
"De 25 a 29 años (034)",4721,8575,8371,507,97.6,5.9,
"De 30 a 34 años (035)",5588,13646,13217,480,96.9,3.5,
"De 35 a 39 años (036)",6201,18777,18088,318,96.3,1.7,
"De 40 a 44 años (037)",6436,22933,21846,138,95.3,0.6,
