"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUYA (000)",15711,14003,664,175,869
"Hombres (001)",12650,11531,519,111,489
"Mujeres (002)",3061,2472,145,64,380
"De 06 a 14 años (003)",379,363,14,2,
"Hombres (004)",322,308,12,2,
"Mujeres (005)",57,55,2,,
"De 15 a 29 años (006)",4982,4523,221,27,211
"Hombres (007)",4098,3787,188,17,106
"Mujeres (008)",884,736,33,10,105
"De 30 a 44 años (009)",5034,4196,268,97,473
"Hombres (010)",3922,3404,198,58,262
"Mujeres (011)",1112,792,70,39,211
"De 45 a 64 años (012)",3759,3411,131,44,173
"Hombres (013)",3027,2785,97,30,115
"Mujeres (014)",732,626,34,14,58
"De 65 y más años (015)",1557,1510,30,5,12
"Hombres (016)",1281,1247,24,4,6
"Mujeres (017)",276,263,6,1,6
,,,,,
"URBANA (018)",6785,5637,355,138,655
"Hombres (019)",4974,4269,262,86,357
"Mujeres (020)",1811,1368,93,52,298
"De 06 a 14 años (021)",146,136,8,2,
"Hombres (022)",123,114,7,2,
"Mujeres (023)",23,22,1,,
"De 15 a 29 años (024)",1890,1617,113,19,141
"Hombres (025)",1408,1237,98,11,62
"Mujeres (026)",482,380,15,8,79
"De 30 a 44 años (027)",2326,1740,146,76,364
"Hombres (028)",1630,1291,96,45,198
"Mujeres (029)",696,449,50,31,166
"De 45 a 64 años (030)",1728,1469,79,38,142
"Hombres (031)",1283,1111,54,25,93
"Mujeres (032)",445,358,25,13,49
"De 65 y más años (033)",695,675,9,3,8
"Hombres (034)",530,516,7,3,4
"Mujeres (035)",165,159,2,,4
,,,,,
"RURAL (036)",8926,8366,309,37,214
"Hombres (037)",7676,7262,257,25,132
"Mujeres (038)",1250,1104,52,12,82
"De 06 a 14 años (039)",233,227,6,,
"Hombres (040)",199,194,5,,
"Mujeres (041)",34,33,1,,
"De 15 a 29 años (042)",3092,2906,108,8,70
"Hombres (043)",2690,2550,90,6,44
"Mujeres (044)",402,356,18,2,26
"De 30 a 44 años (045)",2708,2456,122,21,109
"Hombres (046)",2292,2113,102,13,64
"Mujeres (047)",416,343,20,8,45
"De 45 a 64 años (048)",2031,1942,52,6,31
"Hombres (049)",1744,1674,43,5,22
"Mujeres (050)",287,268,9,1,9
"De 65 y más años (051)",862,835,21,2,4
"Hombres (052)",751,731,17,1,2
"Mujeres (053)",111,104,4,1,2
