"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PARURO (000)",26626,7760,5718,5551,4818,2779
"Sin nivel (001)",4892,162,250,930,1782,1768
"Educación inicial (002)",312,287,11,14,,
"Primaria (003)",14617,6375,2071,3041,2246,884
"Secundaria (004)",5835,936,3001,1197,602,99
"Superior no univ. incompleta (005)",274,,173,70,28,3
"Superior no univ. completa (006)",309,,101,145,48,15
"Superior univ. incompleta (007)",130,,56,40,32,2
"Superior univ. completa (008)",257,,55,114,80,8
"PEA (010)",9219,251,2147,3083,2637,1101
"Sin nivel (011)",1515,7,59,312,618,519
"Educación inicial (012)",16,4,5,7,,
"Primaria (013)",4490,182,826,1565,1408,509
"Secundaria (014)",2501,58,1050,876,459,58
"Superior no univ. incompleta (015)",143,,60,57,24,2
"Superior no univ. completa (016)",254,,80,130,38,6
"Superior univ. incompleta (017)",80,,23,32,23,2
"Superior univ. completa (018)",220,,44,104,67,5
"Ocupada (020)",9028,249,2060,3013,2611,1095
"Sin nivel (021)",1503,7,57,310,613,516
"Educación inicial (022)",15,4,4,7,,
"Primaria (023)",4415,180,802,1531,1396,506
"Secundaria (024)",2411,58,994,849,452,58
"Superior no univ. incompleta (025)",141,,59,57,23,2
"Superior no univ. completa (026)",250,,78,128,38,6
"Superior univ. incompleta (027)",76,,23,29,22,2
"Superior univ. completa (028)",217,,43,102,67,5
"Desocupada (030)",191,2,87,70,26,6
"Sin nivel (031)",12,,2,2,5,3
