"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PACHITEA (000)",16423,689,2412,9982,398,2789,153
"Agric., ganadería, caza y silvicultura (001)",13754,13,2192,8589,363,2597,
"Pesca (002)",7,1,1,3,,2,
"Explotación de minas y canteras (003)",23,,23,,,,
"Industrias manufactureras (004)",257,4,32,203,6,12,
"Construcción (006)",164,,98,49,5,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",769,49,1,624,14,81,
"Venta, mant.y rep. veh.autom y motoc. (008)",23,,1,20,,2,
"Comercio al por mayor (009)",37,5,,27,2,3,
"Comercio al por menor (010)",709,44,,577,12,76,
"Hoteles y restaurantes (011)",184,35,9,121,2,17,
"Trans., almac. y comunicaciones (012)",218,42,13,157,2,4,
"Activid.inmobil., empres. y alquileres (014)",35,17,5,9,3,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",114,101,13,,,,
"Enseñanza (016)",254,245,,9,,,
"Servicios sociales y de salud (017)",127,117,,10,,,
"Otras activ. serv.comun.soc y personales (018)",56,18,3,32,1,2,
"Hogares privados con servicio doméstico (019)",153,,,,,,153
"Actividad economica no especificada (021)",308,47,22,176,2,61,
"Hombres (022)",14286,391,2278,8916,383,2275,43
"Agric., ganadería, caza y silvicultura (023)",12912,11,2092,8228,356,2225,
"Pesca (024)",7,1,1,3,,2,
"Explotación de minas y canteras (025)",23,,23,,,,
"Industrias manufactureras (026)",109,3,21,76,4,5,
"Construcción (028)",163,,97,49,5,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",393,30,1,335,11,16,
"Venta, mant.y rep. veh.autom y motoc. (030)",21,,1,20,,,
"Comercio al por mayor (031)",22,5,,15,2,,
"Comercio al por menor (032)",350,25,,300,9,16,
"Hoteles y restaurantes (033)",28,14,,12,,2,
"Trans., almac. y comunicaciones (034)",212,39,13,154,2,4,
"Activid.inmobil., empres. y alquileres (036)",28,10,5,9,3,1,
"Admin.pub. y defensa; p. segur soc.afil (037)",88,76,12,,,,
"Enseñanza (038)",123,118,,5,,,
"Servicios sociales y de salud (039)",64,57,,7,,,
"Otras activ. serv.comun.soc y personales (040)",25,13,,10,1,1,
"Hogares privados con servicio doméstico (041)",43,,,,,,43
"Actividad economica no especificada (043)",68,19,13,28,1,7,
"Mujeres (044)",2137,298,134,1066,15,514,110
"Agric., ganadería, caza y silvicultura (045)",842,2,100,361,7,372,
"Industrias manufactureras (048)",148,1,11,127,2,7,
"Construcción (050)",1,,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",376,19,,289,3,65,
"Venta, mant.y rep. veh.autom y motoc. (052)",2,,,,,2,
"Comercio al por mayor (053)",15,,,12,,3,
"Comercio al por menor (054)",359,19,,277,3,60,
"Hoteles y restaurantes (055)",156,21,9,109,2,15,
"Trans., almac. y comunicaciones (056)",6,3,,3,,,
"Activid.inmobil., empres. y alquileres (058)",7,7,,,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",26,25,1,,,,
"Enseñanza (060)",131,127,,4,,,
"Servicios sociales y de salud (061)",63,60,,3,,,
"Otras activ. serv.comun.soc y personales (062)",31,5,3,22,,1,
"Hogares privados con servicio doméstico (063)",110,,,,,,110
"Actividad economica no especificada (065)",240,28,9,148,1,54,
,,,,,,,
"URBANA (066)",2563,427,404,1468,24,190,50
"Agric., ganadería, caza y silvicultura (067)",1179,4,314,753,9,99,
"Pesca (068)",2,1,1,,,,
"Explotación de minas y canteras (069)",18,,18,,,,
"Industrias manufactureras (070)",89,4,12,67,1,5,
"Construcción (072)",56,,30,18,,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",489,29,1,399,6,54,
"Venta, mant.y rep. veh.autom y motoc. (074)",20,,1,17,,2,
"Comercio al por mayor (075)",20,3,,14,1,2,
"Comercio al por menor (076)",449,26,,368,5,50,
"Hoteles y restaurantes (077)",109,16,4,75,1,13,
"Trans., almac. y comunicaciones (078)",112,23,6,81,1,1,
"Activid.inmobil., empres. y alquileres (080)",27,11,4,8,3,1,
"Admin.pub. y defensa; p. segur soc.afil (081)",85,79,6,,,,
"Enseñanza (082)",154,147,,7,,,
"Servicios sociales y de salud (083)",85,76,,9,,,
"Otras activ. serv.comun.soc y personales (084)",45,14,1,27,1,2,
"Hogares privados con servicio doméstico (085)",50,,,,,,50
"Actividad economica no especificada (087)",63,23,7,24,2,7,
"Hombres (088)",1896,245,385,1131,18,107,10
"Agric., ganadería, caza y silvicultura (089)",1118,3,306,721,6,82,
"Pesca (090)",2,1,1,,,,
"Explotación de minas y canteras (091)",18,,18,,,,
"Industrias manufactureras (092)",51,3,6,38,1,3,
"Construcción (094)",56,,30,18,,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",264,18,1,231,5,9,
"Venta, mant.y rep. veh.autom y motoc. (096)",18,,1,17,,,
"Comercio al por mayor (097)",13,3,,9,1,,
"Comercio al por menor (098)",233,15,,205,4,9,
"Hoteles y restaurantes (099)",18,8,,9,,1,
"Trans., almac. y comunicaciones (100)",108,21,6,79,1,1,
"Activid.inmobil., empres. y alquileres (102)",22,6,4,8,3,1,
"Admin.pub. y defensa; p. segur soc.afil (103)",66,60,6,,,,
"Enseñanza (104)",64,60,,4,,,
"Servicios sociales y de salud (105)",45,39,,6,,,
"Otras activ. serv.comun.soc y personales (106)",23,11,,10,1,1,
"Hogares privados con servicio doméstico (107)",10,,,,,,10
"Actividad economica no especificada (109)",31,15,7,7,1,1,
"Mujeres (110)",667,182,19,337,6,83,40
"Agric., ganadería, caza y silvicultura (111)",61,1,8,32,3,17,
"Industrias manufactureras (114)",38,1,6,29,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",225,11,,168,1,45,
"Venta, mant.y rep. veh.autom y motoc. (118)",2,,,,,2,
"Comercio al por mayor (119)",7,,,5,,2,
"Comercio al por menor (120)",216,11,,163,1,41,
"Hoteles y restaurantes (121)",91,8,4,66,1,12,
"Trans., almac. y comunicaciones (122)",4,2,,2,,,
"Activid.inmobil., empres. y alquileres (124)",5,5,,,,,
"Admin.pub. y defensa; p. segur soc.afil (125)",19,19,,,,,
"Enseñanza (126)",90,87,,3,,,
"Servicios sociales y de salud (127)",40,37,,3,,,
"Otras activ. serv.comun.soc y personales (128)",22,3,1,17,,1,
"Hogares privados con servicio doméstico (129)",40,,,,,,40
"Actividad economica no especificada (131)",32,8,,17,1,6,
,,,,,,,
"RURAL (132)",13860,262,2008,8514,374,2599,103
"Agric., ganadería, caza y silvicultura (133)",12575,9,1878,7836,354,2498,
"Pesca (134)",5,,,3,,2,
"Explotación de minas y canteras (135)",5,,5,,,,
"Industrias manufactureras (136)",168,,20,136,5,7,
"Construcción (138)",108,,68,31,5,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",280,20,,225,8,27,
"Venta, mant.y rep. veh.autom y motoc. (140)",3,,,3,,,
