"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN IGNACIO (000)",40477,39234,11629,4667,4245,3626,5418,4016,2902,2731,1243,129574
"De 12 a 14 años (001)",5069,5019,4987,31,1,,,,,,50,33
"De 15 a 19 años (002)",5933,5741,4542,987,180,23,9,,,,192,1452
"De 20 a 24 años (003)",4926,4530,1107,1672,1142,432,169,8,,,396,6007
"De 25 a 29 años (004)",4837,4549,366,971,1247,1041,800,116,8,,288,10831
"De 30 a 34 años (005)",3841,3722,161,410,717,772,1187,389,74,12,119,12597
"De 35 a 39 años (006)",3571,3512,101,211,387,576,1117,778,276,66,59,15659
"De 40 a 44 años (007)",2918,2882,74,92,216,298,749,743,470,240,36,16122
"De 45 a 49 años (008)",2471,2451,62,90,127,180,501,605,488,398,20,15717
"De 50 y más años (009)",6911,6828,229,203,228,304,886,1377,1586,2015,83,51156
"Conviviente (010)",16430,16073,1074,2918,2808,2310,3102,1919,1070,872,357,60291
"De 12 a 14 años (011)",89,44,29,15,,,,,,,45,15
"De 15 a 19 años (012)",1442,1280,431,682,143,18,6,,,,162,1046
"De 20 a 24 años (013)",2873,2801,274,1154,882,351,135,5,,,72,4561
"De 25 a 29 años (014)",3166,3133,143,623,899,789,600,76,3,,33,7879
"De 30 a 34 años (015)",2437,2428,52,237,468,527,826,260,48,10,9,8525
"De 35 a 39 años (016)",2085,2078,35,94,208,331,700,502,170,38,7,9641
"De 40 a 44 años (017)",1432,1429,25,27,95,138,381,393,243,127,3,8316
"De 45 a 49 años (018)",1026,1020,18,31,46,66,227,271,197,164,6,6624
"De 50 y más años (019)",1880,1860,67,55,67,90,227,412,409,533,20,13684
"Separado(a) (020)",1605,1569,35,470,281,174,231,187,104,87,36,5673
"De 12 a 14 años (021)",2,2,,2,,,,,,,,2
