"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TAYACAJA (000)",1166,343,823
"Sin nivel (001)",90,25,65
"Educación inicial (002)",3,3,
"Primaria (003)",472,105,367
"Secundaria (004)",507,177,330
"Superior no univ. incompleta (005)",19,6,13
"Superior no univ. completa (006)",35,12,23
"Superior univ. incompleta (007)",10,1,9
"Superior univ. completa (008)",30,14,16
"De 14 a 29 años (010)",623,256,367
"Sin nivel (011)",17,10,7
"Educación inicial (012)",1,1,
"Primaria (013)",182,60,122
"Secundaria (014)",359,157,202
"Superior no univ. incompleta (015)",13,5,8
"Superior no univ. completa (016)",24,11,13
"Superior univ. incompleta (017)",7,1,6
"Superior univ. completa (018)",20,11,9
"De 30 a 44 años (020)",335,66,269
"Sin nivel (021)",28,13,15
"Educación inicial (022)",2,2,
"Primaria (023)",171,29,142
"Secundaria (024)",111,17,94
"Superior no univ. incompleta (025)",5,1,4
"Superior no univ. completa (026)",10,1,9
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",7,3,4
"De 45 a 64 años (030)",164,21,143
"Sin nivel (031)",27,2,25
"Primaria (033)",98,16,82
"Secundaria (034)",33,3,30
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",2,,2
"De 65 y más años (040)",44,,44
"Sin nivel (041)",18,,18
"Primaria (043)",21,,21
"Secundaria (044)",4,,4
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",402,95,307
"Sin nivel (051)",21,3,18
"Educación inicial (052)",1,1,
"Primaria (053)",118,17,101
"Secundaria (054)",195,48,147
"Superior no univ. incompleta (055)",11,5,6
"Superior no univ. completa (056)",27,9,18
"Superior univ. incompleta (057)",6,1,5
"Superior univ. completa (058)",23,11,12
"De 14 a 29 años (060)",190,76,114
"Sin nivel (061)",4,1,3
"Educación inicial (062)",1,1,
"Primaria (063)",26,11,15
"Secundaria (064)",111,40,71
"Superior no univ. incompleta (065)",9,4,5
"Superior no univ. completa (066)",19,9,10
"Superior univ. incompleta (067)",4,1,3
"Superior univ. completa (068)",16,9,7
"De 30 a 44 años (070)",124,16,108
"Sin nivel (071)",10,2,8
"Primaria (073)",41,5,36
"Secundaria (074)",58,6,52
"Superior no univ. incompleta (075)",2,1,1
"Superior no univ. completa (076)",8,,8
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",4,2,2
"De 45 a 64 años (080)",73,3,70
"Sin nivel (081)",5,,5
"Primaria (083)",40,1,39
"Secundaria (084)",25,2,23
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",2,,2
"De 65 y más años (090)",15,,15
"Sin nivel (091)",2,,2
"Primaria (093)",11,,11
"Secundaria (094)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",764,248,516
"Sin nivel (101)",69,22,47
"Educación inicial (102)",2,2,
"Primaria (103)",354,88,266
"Secundaria (104)",312,129,183
"Superior no univ. incompleta (105)",8,1,7
"Superior no univ. completa (106)",8,3,5
"Superior univ. incompleta (107)",4,,4
"Superior univ. completa (108)",7,3,4
"De 14 a 29 años (110)",433,180,253
"Sin nivel (111)",13,9,4
"Primaria (113)",156,49,107
"Secundaria (114)",248,117,131
"Superior no univ. incompleta (115)",4,1,3
"Superior no univ. completa (116)",5,2,3
"Superior univ. incompleta (117)",3,,3
"Superior univ. completa (118)",4,2,2
"De 30 a 44 años (120)",211,50,161
"Sin nivel (121)",18,11,7
"Educación inicial (122)",2,2,
"Primaria (123)",130,24,106
"Secundaria (124)",53,11,42
"Superior no univ. incompleta (125)",3,,3
"Superior no univ. completa (126)",2,1,1
"Superior univ. completa (128)",3,1,2
"De 45 a 64 años (130)",91,18,73
"Sin nivel (131)",22,2,20
"Primaria (133)",58,15,43
"Secundaria (134)",8,1,7
"Superior no univ. incompleta (135)",1,,1
"Superior no univ. completa (136)",1,,1
"Superior univ. incompleta (137)",1,,1
"De 65 y más años (140)",29,,29
"Sin nivel (141)",16,,16
"Primaria (143)",10,,10
"Secundaria (144)",3,,3
