"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",37097,35282,98,6207,6275,5413,8302,5380,2814,793,1815,138447
"De 12 a 14 años (001)",75,32,5,27,,,,,,,43,27
"De 15 a 19 años (002)",981,833,12,719,88,9,5,,,,148,942
"De 20 a 24 años (003)",3949,3335,9,1982,1043,244,48,9,,,614,5054
"De 25 a 29 años (004)",4595,4144,8,1269,1504,894,440,26,3,,451,9011
"De 30 a 34 años (005)",4658,4468,4,722,1206,1110,1182,218,21,5,190,13178
"De 35 a 39 años (006)",4561,4471,4,410,814,1001,1503,593,132,14,90,16682
"De 40 a 44 años (007)",3683,3616,7,232,430,596,1247,767,290,47,67,16213
"De 45 a 49 años (008)",2997,2963,5,175,263,401,838,769,411,101,34,15180
"De 50 y más años (009)",11598,11420,44,671,927,1158,3039,2998,1957,626,178,62160
"Conviviente (010)",7694,7407,34,2689,2040,1098,962,398,144,42,287,18461
"De 12 a 14 años (011)",54,20,5,15,,,,,,,34,15
"De 15 a 19 años (012)",624,518,7,454,50,6,1,,,,106,576
"De 20 a 24 años (013)",1926,1834,5,1142,553,109,22,3,,,92,2685
"De 25 a 29 años (014)",1714,1682,6,616,636,302,111,10,1,,32,3333
"De 30 a 34 años (015)",1283,1274,3,256,428,285,261,37,2,2,9,3349
"De 35 a 39 años (016)",812,807,,94,206,203,205,86,11,2,5,2682
"De 40 a 44 años (017)",465,463,1,43,92,89,131,72,30,5,2,1834
"De 45 a 49 años (018)",278,277,2,20,31,48,93,55,23,5,1,1249
"De 50 y más años (019)",538,532,5,49,44,56,138,135,77,28,6,2738
"Separado(a) (020)",1850,1819,5,716,409,240,272,115,53,9,31,4722
"De 12 a 14 años (021)",3,3,,3,,,,,,,,3
