"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHACHAPOYAS (000)",18275,10482,7793
"Casa independiente (001)",16019,8804,7215
"Departamento en edificio (002)",117,117,
"Vivienda en quinta (003)",234,234,
"Vivienda en casa de vecindad (004)",1307,1307,
"Choza o cabaña (005)",573,,573
"Vivienda improvisada (006)",14,14,
"Local no dest.para hab. humana (007)",7,3,4
"Otro tipo (008)",4,3,1
