"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TOCACHE (000)",67635,3079,7530,8470,8184,13090,10359,14536,2387
"Sin nivel (001)",8216,3079,969,84,158,361,729,2003,833
"Educación inicial (002)",1524,,1438,22,17,19,28,,
"Primaria (003)",28471,,5123,5524,1547,3499,4309,7193,1276
"Secundaria (004)",21419,,,2840,5742,5769,3301,3581,186
"Superior no univ. incompleto (005)",2556,,,,591,1237,376,330,22
"Superior no univ. completo (006)",2952,,,,,1394,846,674,38
"Superior univ. incompleto (007)",1004,,,,129,399,210,255,11
"Superior univ. completo (008)",1493,,,,,412,560,500,21
"Hombres (010)",38084,1569,3919,4381,4691,7737,5817,8666,1304
"Sin nivel (011)",3542,1569,500,45,91,148,242,696,251
"Educación inicial (012)",801,,758,10,15,7,11,,
"Primaria (013)",15742,,2661,2869,928,1902,2259,4278,845
"Secundaria (014)",12988,,,1457,3294,3530,2074,2494,139
"Superior no univ. incompleto (015)",1518,,,,287,740,228,247,16
"Superior no univ. completo (016)",1837,,,,,914,496,401,26
"Superior univ. incompleto (017)",686,,,,76,260,147,193,10
"Superior univ. completo (018)",970,,,,,236,360,357,17
"Mujeres (020)",29551,1510,3611,4089,3493,5353,4542,5870,1083
"Sin nivel (021)",4674,1510,469,39,67,213,487,1307,582
"Educación inicial (022)",723,,680,12,2,12,17,,
"Primaria (023)",12729,,2462,2655,619,1597,2050,2915,431
"Secundaria (024)",8431,,,1383,2448,2239,1227,1087,47
"Superior no univ. incompleto (025)",1038,,,,304,497,148,83,6
"Superior no univ. completo (026)",1115,,,,,480,350,273,12
"Superior univ. incompleto (027)",318,,,,53,139,63,62,1
"Superior univ. completo (028)",523,,,,,176,200,143,4
,,,,,,,,,
"URBANA (030)",34318,1389,3462,4190,4439,6713,5281,7651,1193
"Sin nivel (031)",2918,1389,316,30,72,85,143,551,332
"Educación inicial (032)",778,,725,16,12,12,13,,
"Primaria (033)",11924,,2421,2479,519,970,1601,3274,660
"Secundaria (034)",12359,,,1665,3313,2945,1902,2399,135
"Superior no univ. incompleto (035)",1880,,,,439,921,271,238,11
