"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCANE (000)",23192,1930,1454,12896,105,6639,168
"Agric., ganadería, caza y silvicultura (001)",16264,7,639,9534,44,6040,
"Pesca (002)",101,,49,51,,1,
"Explotación de minas y canteras (003)",101,3,73,25,,,
"Industrias manufactureras (004)",822,,109,565,9,139,
"Suministro de electricidad, gas y agua (005)",22,6,16,,,,
"Construcción (006)",686,5,434,208,7,32,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1753,64,20,1382,16,271,
"Venta, mant.y rep. veh.autom.y motoc. (008)",73,3,10,53,3,4,
"Comercio al por mayor (009)",99,6,1,80,,12,
"Comercio al por menor (010)",1581,55,9,1249,13,255,
"Hoteles y restaurantes (011)",315,66,1,223,7,18,
"Trans., almac. y comunicaciones (012)",500,59,37,373,10,21,
"Intermediación financiera (013)",11,11,,,,,
"Activid.inmobil., empres. y alquileres (014)",116,79,7,29,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",516,481,35,,,,
"Enseñanza (016)",941,883,,53,,5,
"Servicios sociales y de salud (017)",202,179,,21,1,1,
"Otras activ. serv.comun.soc y personales (018)",143,29,2,101,3,8,
"Hogares privados con servicio doméstico (019)",168,,,,,,168
"Actividad economica no especificada (021)",531,58,32,331,7,103,
"Hombres (022)",13463,1370,1058,8717,69,2223,26
"Agric., ganadería, caza y silvicultura (023)",9177,6,306,6861,30,1974,
"Pesca (024)",96,,49,47,,,
"Explotación de minas y canteras (025)",99,3,73,23,,,
"Industrias manufactureras (026)",438,,87,267,7,77,
"Suministro de electricidad, gas y agua (027)",21,5,16,,,,
"Construcción (028)",666,3,420,204,7,32,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",765,26,17,639,10,73,
"Venta, mant.y rep. veh.autom.y motoc. (030)",64,2,10,46,3,3,
"Comercio al por mayor (031)",48,2,1,44,,1,
"Comercio al por menor (032)",653,22,6,549,7,69,
"Hoteles y restaurantes (033)",64,19,1,37,,7,
"Trans., almac. y comunicaciones (034)",476,46,36,364,10,20,
"Intermediación financiera (035)",9,9,,,,,
"Activid.inmobil., empres. y alquileres (036)",96,64,6,26,,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",403,380,23,,,,
"Enseñanza (038)",700,665,,30,,5,
"Servicios sociales y de salud (039)",100,83,,17,,,
"Otras activ. serv.comun.soc y personales (040)",100,21,2,73,3,1,
"Hogares privados con servicio doméstico (041)",26,,,,,,26
"Actividad economica no especificada (043)",227,40,22,129,2,34,
"Mujeres (044)",9729,560,396,4179,36,4416,142
"Agric., ganadería, caza y silvicultura (045)",7087,1,333,2673,14,4066,
"Pesca (046)",5,,,4,,1,
"Explotación de minas y canteras (047)",2,,,2,,,
"Industrias manufactureras (048)",384,,22,298,2,62,
"Suministro de electricidad, gas y agua (049)",1,1,,,,,
"Construcción (050)",20,2,14,4,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",988,38,3,743,6,198,
"Venta, mant.y rep. veh.autom.y motoc. (052)",9,1,,7,,1,
"Comercio al por mayor (053)",51,4,,36,,11,
"Comercio al por menor (054)",928,33,3,700,6,186,
"Hoteles y restaurantes (055)",251,47,,186,7,11,
"Trans., almac. y comunicaciones (056)",24,13,1,9,,1,
"Intermediación financiera (057)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (058)",20,15,1,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",113,101,12,,,,
"Enseñanza (060)",241,218,,23,,,
"Servicios sociales y de salud (061)",102,96,,4,1,1,
"Otras activ. serv.comun.soc y personales (062)",43,8,,28,,7,
"Hogares privados con servicio doméstico (063)",142,,,,,,142
"Actividad economica no especificada (065)",304,18,10,202,5,69,
,,,,,,,
"URBANA (066)",4735,1285,340,2383,52,608,67
"Agric., ganadería, caza y silvicultura (067)",1041,2,67,660,7,305,
"Pesca (068)",6,,2,4,,,
"Explotación de minas y canteras (069)",45,2,29,14,,,
"Industrias manufactureras (070)",232,,33,171,3,25,
"Suministro de electricidad, gas y agua (071)",17,4,13,,,,
"Construcción (072)",189,4,127,52,5,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1177,46,7,904,14,206,
"Venta, mant.y rep. veh.autom.y motoc. (074)",46,2,3,35,3,3,
"Comercio al por mayor (075)",38,2,,33,,3,
"Comercio al por menor (076)",1093,42,4,836,11,200,
"Hoteles y restaurantes (077)",231,47,1,161,7,15,
"Trans., almac. y comunicaciones (078)",277,44,12,200,8,13,
"Intermediación financiera (079)",9,9,,,,,
"Activid.inmobil., empres. y alquileres (080)",76,50,3,22,1,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",324,303,21,,,,
"Enseñanza (082)",587,559,,25,,3,
"Servicios sociales y de salud (083)",162,148,,12,1,1,
"Otras activ. serv.comun.soc y personales (084)",90,25,2,58,2,3,
"Hogares privados con servicio doméstico (085)",67,,,,,,67
"Actividad economica no especificada (087)",205,42,23,100,4,36,
"Hombres (088)",2689,831,274,1326,32,212,14
"Agric., ganadería, caza y silvicultura (089)",589,2,36,441,5,105,
"Pesca (090)",6,,2,4,,,
"Explotación de minas y canteras (091)",43,2,29,12,,,
"Industrias manufactureras (092)",145,,26,102,2,15,
"Suministro de electricidad, gas y agua (093)",16,3,13,,,,
"Construcción (094)",180,2,120,52,5,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",445,17,4,363,8,53,
"Venta, mant.y rep. veh.autom.y motoc. (096)",39,2,3,29,3,2,
"Comercio al por mayor (097)",14,,,14,,,
"Comercio al por menor (098)",392,15,1,320,5,51,
"Hoteles y restaurantes (099)",47,11,1,29,,6,
"Trans., almac. y comunicaciones (100)",259,34,11,193,8,13,
"Intermediación financiera (101)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (102)",61,39,3,19,,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",241,229,12,,,,
"Enseñanza (104)",385,371,,11,,3,
"Servicios sociales y de salud (105)",77,67,,10,,,
"Otras activ. serv.comun.soc y personales (106)",63,18,2,40,2,1,
"Hogares privados con servicio doméstico (107)",14,,,,,,14
"Actividad economica no especificada (109)",111,29,15,50,2,15,
"Mujeres (110)",2046,454,66,1057,20,396,53
"Agric., ganadería, caza y silvicultura (111)",452,,31,219,2,200,
"Explotación de minas y canteras (113)",2,,,2,,,
"Industrias manufactureras (114)",87,,7,69,1,10,
"Suministro de electricidad, gas y agua (115)",1,1,,,,,
"Construcción (116)",9,2,7,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",732,29,3,541,6,153,
"Venta, mant.y rep. veh.autom.y motoc. (118)",7,,,6,,1,
"Comercio al por mayor (119)",24,2,,19,,3,
"Comercio al por menor (120)",701,27,3,516,6,149,
"Hoteles y restaurantes (121)",184,36,,132,7,9,
"Trans., almac. y comunicaciones (122)",18,10,1,7,,,
