"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAZ (000)",52505,36259,5041,5130,6075
"Agric., ganadería, caza y silvicultura (001)",10374,9937,325,80,32
"Pesca (002)",10,6,,3,1
"Explotación de minas y canteras (003)",1011,220,129,262,400
"Industrias manufactureras (004)",2665,2142,317,148,58
"Suministro de electricidad, gas y agua (005)",156,36,31,61,28
"Construcción (006)",4745,2994,903,672,176
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9960,8946,669,308,37
"Venta, mant.y rep. veh.autom y motoc. (008)",1006,775,161,48,22
"Comercio al por mayor (009)",684,480,92,97,15
"Comercio al por menor (010)",8270,7691,416,163,
"Hoteles y restaurantes (011)",2810,2351,307,114,38
"Trans., almac. y comunicaciones (012)",4086,3245,390,263,188
"Intermediación financiera (013)",326,54,36,163,73
"Activid.inmobil., empres. y alquileres (014)",3028,1644,428,545,411
"Admin.pub. y defensa; p. segur soc.afil (015)",2291,,,,2291
"Enseñanza (016)",5397,868,1062,2139,1328
"Servicios sociales y de salud (017)",1360,303,59,99,899
"Otras activ. serv.comun.soc y personales (018)",1829,1205,316,216,92
"Hogares privados con servicio doméstico (019)",1598,1598,,,
"Organiz. y organos extraterritoriales (020)",1,,1,,
"Actividad economica no especificada (021)",858,710,68,57,23
"Hombres (022)",33984,23388,3550,3380,3666
"Agric., ganadería, caza y silvicultura (023)",8491,8129,274,62,26
"Pesca (024)",8,4,,3,1
"Explotación de minas y canteras (025)",935,197,121,246,371
"Industrias manufactureras (026)",2063,1665,244,113,41
"Suministro de electricidad, gas y agua (027)",136,31,29,54,22
"Construcción (028)",4578,2925,875,617,161
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4913,4238,440,207,28
"Venta, mant.y rep. veh.autom y motoc. (030)",939,719,153,47,20
"Comercio al por mayor (031)",421,282,62,69,8
"Comercio al por menor (032)",3553,3237,225,91,
"Hoteles y restaurantes (033)",1061,820,152,72,17
"Trans., almac. y comunicaciones (034)",3609,2913,320,219,157
"Intermediación financiera (035)",179,32,19,88,40
"Activid.inmobil., empres. y alquileres (036)",2055,1148,280,367,260
"Admin.pub. y defensa; p. segur soc.afil (037)",1453,,,,1453
"Enseñanza (038)",2643,292,524,1119,708
"Servicios sociales y de salud (039)",485,113,17,43,312
