"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CORONGO (000)",2510,23,676,865,701,245
"Agric., ganadería, caza y silvicultura (001)",1320,16,338,363,407,196
"Pesca (002)",1,,1,,,
"Explotación de minas y canteras (003)",34,,20,8,6,
"Industrias manufactureras (004)",110,1,25,39,39,6
"Suministro de electricidad, gas y agua (005)",2,,,1,1,
"Construcción (006)",143,,59,55,28,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",217,2,60,73,65,17
"Venta, mant.y rep. veh.autom.y motoc. (008)",5,,1,1,2,1
"Comercio al por mayor (009)",9,,,6,3,
"Comercio al por menor (010)",203,2,59,66,60,16
"Hoteles y restaurantes (011)",63,1,19,19,18,6
"Trans., almac. y comunicaciones (012)",51,1,18,24,7,1
"Intermediación financiera (013)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (014)",39,,11,13,14,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",116,,34,55,25,2
"Enseñanza (016)",212,,35,139,38,
"Servicios sociales y de salud (017)",34,,6,19,9,
"Otras activ. serv.comun.soc y personales (018)",53,,16,24,13,
"Hogares privados con servicio doméstico (019)",42,1,18,12,10,1
"Actividad economica no especificada (021)",71,1,15,20,21,14
"Hombres (022)",1998,14,546,669,564,205
"Agric., ganadería, caza y silvicultura (023)",1244,11,321,346,385,181
"Pesca (024)",1,,1,,,
"Explotación de minas y canteras (025)",34,,20,8,6,
"Industrias manufactureras (026)",86,1,20,32,28,5
"Suministro de electricidad, gas y agua (027)",2,,,1,1,
"Construcción (028)",141,,58,55,27,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",109,1,36,33,30,9
"Venta, mant.y rep. veh.autom.y motoc. (030)",4,,1,1,1,1
"Comercio al por mayor (031)",6,,,3,3,
"Comercio al por menor (032)",99,1,35,29,26,8
"Hoteles y restaurantes (033)",19,,4,6,6,3
"Trans., almac. y comunicaciones (034)",50,1,17,24,7,1
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",27,,7,8,11,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",91,,27,43,20,1
"Enseñanza (038)",116,,13,79,24,
"Servicios sociales y de salud (039)",17,,3,9,5,
"Otras activ. serv.comun.soc y personales (040)",42,,14,21,7,
"Hogares privados con servicio doméstico (041)",3,,1,1,1,
"Actividad economica no especificada (043)",15,,4,2,6,3
