"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BELLAVISTA (000)",48716,26604,22112
"Casa independiente (001)",41027,25883,15144
"Departamento en edificio (002)",33,33,
"Vivienda en quinta (003)",442,442,
"Vivienda en casa de vecindad (004)",94,94,
"Choza o cabaña (005)",6941,,6941
"Vivienda improvisada (006)",109,109,
"Local no dest.para hab. humana (007)",57,31,26
"Otro tipo (008)",13,12,1
