"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia EL DORADO (000)",13708,748,1609,7307,243,3526,275
"Sin nivel (001)",1150,4,123,594,17,386,26
"Educación inicial (002)",38,,3,9,,26,
"Primaria (003)",8640,55,1044,4813,157,2398,173
"Secundaria (004)",3092,142,413,1713,57,696,71
"Superior no univ. incompleta (005)",151,63,14,61,1,8,4
"Superior no univ. completa (006)",341,266,7,57,4,7,
"Superior univ. incompleta (007)",81,35,4,33,5,3,1
"Superior univ. completa (008)",215,183,1,27,2,2,
"Hombres (010)",9889,437,1256,6245,221,1716,14
"Sin nivel (011)",590,1,66,447,12,64,
"Educación inicial (012)",14,,2,8,,4,
"Primaria (013)",6386,22,814,4238,147,1159,6
"Secundaria (014)",2402,94,353,1418,53,477,7
"Superior no univ. incompleta (015)",104,38,12,47,1,6,
"Superior no univ. completa (016)",204,152,6,42,2,2,
"Superior univ. incompleta (017)",53,18,2,24,5,3,1
"Superior univ. completa (018)",136,112,1,21,1,1,
"Mujeres (020)",3819,311,353,1062,22,1810,261
"Sin nivel (021)",560,3,57,147,5,322,26
"Educación inicial (022)",24,,1,1,,22,
"Primaria (023)",2254,33,230,575,10,1239,167
"Secundaria (024)",690,48,60,295,4,219,64
"Superior no univ. incompleta (025)",47,25,2,14,,2,4
"Superior no univ. completa (026)",137,114,1,15,2,5,
"Superior univ. incompleta (027)",28,17,2,9,,,
"Superior univ. completa (028)",79,71,,6,1,1,
,,,,,,,
"URBANA (030)",5510,601,643,2761,85,1225,195
"Sin nivel (031)",305,3,29,141,5,115,12
"Educación inicial (032)",2,,,1,,1,
"Primaria (033)",2916,45,361,1552,43,788,127
"Secundaria (034)",1676,123,235,932,29,306,51
"Superior no univ. incompleta (035)",104,42,9,43,,6,4
"Superior no univ. completa (036)",271,211,6,45,3,6,
"Superior univ. incompleta (037)",62,28,3,26,3,1,1
"Superior univ. completa (038)",174,149,,21,2,2,
"Hombres (040)",3683,345,500,2171,78,585,4
"Sin nivel (041)",121,,11,88,4,18,
"Educación inicial (042)",1,,,1,,,
"Primaria (043)",1944,17,276,1262,40,348,1
"Secundaria (044)",1248,84,200,722,28,212,2
"Superior no univ. incompleta (045)",70,26,7,33,,4,
"Superior no univ. completa (046)",155,116,5,31,2,1,
"Superior univ. incompleta (047)",37,13,1,18,3,1,1
"Superior univ. completa (048)",107,89,,16,1,1,
"Mujeres (050)",1827,256,143,590,7,640,191
"Sin nivel (051)",184,3,18,53,1,97,12
"Educación inicial (052)",1,,,,,1,
"Primaria (053)",972,28,85,290,3,440,126
"Secundaria (054)",428,39,35,210,1,94,49
"Superior no univ. incompleta (055)",34,16,2,10,,2,4
"Superior no univ. completa (056)",116,95,1,14,1,5,
"Superior univ. incompleta (057)",25,15,2,8,,,
"Superior univ. completa (058)",67,60,,5,1,1,
,,,,,,,
"RURAL (060)",8198,147,966,4546,158,2301,80
"Sin nivel (061)",845,1,94,453,12,271,14
"Educación inicial (062)",36,,3,8,,25,
"Primaria (063)",5724,10,683,3261,114,1610,46
"Secundaria (064)",1416,19,178,781,28,390,20
"Superior no univ. incompleta (065)",47,21,5,18,1,2,
"Superior no univ. completa (066)",70,55,1,12,1,1,
"Superior univ. incompleta (067)",19,7,1,7,2,2,
"Superior univ. completa (068)",41,34,1,6,,,
"Hombres (070)",6206,92,756,4074,143,1131,10
"Sin nivel (071)",469,1,55,359,8,46,
"Educación inicial (072)",13,,2,7,,4,
"Primaria (073)",4442,5,538,2976,107,811,5
"Secundaria (074)",1154,10,153,696,25,265,5
"Superior no univ. incompleta (075)",34,12,5,14,1,2,
"Superior no univ. completa (076)",49,36,1,11,,1,
"Superior univ. incompleta (077)",16,5,1,6,2,2,
"Superior univ. completa (078)",29,23,1,5,,,
"Mujeres (080)",1992,55,210,472,15,1170,70
"Sin nivel (081)",376,,39,94,4,225,14
"Educación inicial (082)",23,,1,1,,21,
"Primaria (083)",1282,5,145,285,7,799,41
"Secundaria (084)",262,9,25,85,3,125,15
"Superior no univ. incompleta (085)",13,9,,4,,,
"Superior no univ. completa (086)",21,19,,1,1,,
"Superior univ. incompleta (087)",3,2,,1,,,
"Superior univ. completa (088)",12,11,,1,,,
