"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GRAU (000)",5790,3817,823,176,974
"Agric., ganadería, caza y silvicultura (001)",3015,2458,509,38,10
"Explotación de minas y canteras (003)",277,102,27,17,131
"Industrias manufactureras (004)",209,168,22,19,
"Suministro de electricidad, gas y agua (005)",10,3,,5,2
"Construcción (006)",370,235,91,36,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",376,365,9,1,1
"Venta, mant.y rep. veh.autom y motoc. (008)",10,9,,1,
"Comercio al por mayor (009)",11,10,,,1
"Comercio al por menor (010)",355,346,9,,
"Hoteles y restaurantes (011)",116,100,11,1,4
"Trans., almac. y comunicaciones (012)",76,62,8,4,2
"Intermediación financiera (013)",3,,,1,2
"Activid.inmobil., empres. y alquileres (014)",29,15,3,2,9
"Admin.pub. y defensa; p. segur soc.afil (015)",324,,,,324
"Enseñanza (016)",620,95,109,44,372
"Servicios sociales y de salud (017)",122,13,2,3,104
"Otras activ. serv.comun.soc y personales (018)",31,23,4,1,3
"Hogares privados con servicio doméstico (019)",60,60,,,
"Actividad economica no especificada (021)",152,118,28,4,2
"Hombres (022)",4236,2736,676,136,688
"Agric., ganadería, caza y silvicultura (023)",2398,1932,434,24,8
"Explotación de minas y canteras (025)",264,95,27,15,127
"Industrias manufactureras (026)",158,126,15,17,
"Suministro de electricidad, gas y agua (027)",9,3,,5,1
"Construcción (028)",354,226,89,33,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",135,132,2,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",10,9,,1,
"Comercio al por mayor (031)",3,3,,,
"Comercio al por menor (032)",122,120,2,,
"Hoteles y restaurantes (033)",15,13,2,,
"Trans., almac. y comunicaciones (034)",70,60,5,4,1
"Intermediación financiera (035)",1,,,1,
"Activid.inmobil., empres. y alquileres (036)",23,10,2,2,9
"Admin.pub. y defensa; p. segur soc.afil (037)",256,,,,256
"Enseñanza (038)",388,53,79,30,226
"Servicios sociales y de salud (039)",60,6,1,2,51
"Otras activ. serv.comun.soc y personales (040)",16,10,3,1,2
"Hogares privados con servicio doméstico (041)",11,11,,,
"Actividad economica no especificada (043)",78,59,17,1,1
"Mujeres (044)",1554,1081,147,40,286
"Agric., ganadería, caza y silvicultura (045)",617,526,75,14,2
