"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 20 a 24 años (083)",9665,6283,29,4664,1348,198,26,18,,,3382,8175
"De 25 a 29 años (084)",11492,8485,14,4313,2987,920,228,22,1,,3007,14141
"De 30 a 34 años (085)",11013,9646,9,3155,3832,1800,762,74,9,5,1367,20028
"De 35 a 39 años (086)",10423,9600,16,2025,3439,2412,1479,203,18,8,823,23953
"De 40 a 44 años (087)",9277,8734,13,1291,2639,2375,1955,390,65,6,543,25247
"De 45 a 49 años (088)",7854,7443,8,949,1886,1905,1950,595,126,24,411,23992
"De 50 y más años (089)",26998,25994,57,2292,3601,4443,7594,4744,2329,934,1004,116682
"Conviviente (090)",24433,23394,54,8136,6789,3772,3115,1075,338,115,1039,57497
"De 12 a 14 años (091)",65,16,2,14,,,,,,,49,14
"De 15 a 19 años (092)",1319,986,2,889,88,5,2,,,,333,1088
"De 20 a 24 años (093)",4357,4027,23,2863,971,138,20,12,,,330,5378
"De 25 a 29 años (094)",4812,4639,5,2089,1810,582,143,10,,,173,8112
"De 30 a 34 años (095)",4310,4235,4,1113,1724,924,420,44,3,3,75,9448
"De 35 a 39 años (096)",3353,3315,6,560,1045,903,671,118,7,5,38,9082
"De 40 a 44 años (097)",2242,2233,6,254,522,568,689,166,26,2,9,7314
"De 45 a 49 años (098)",1530,1517,2,147,308,340,466,195,45,14,13,5602
"De 50 y más años (099)",2445,2426,4,207,321,312,704,530,257,91,19,11459
"Separado(a) (100)",6693,6554,4,2026,1667,1060,1151,435,171,40,139,18248
"De 12 a 14 años (101)",6,3,,2,1,,,,,,3,4
"De 15 a 19 años (102)",133,109,,102,7,,,,,,24,116
"De 20 a 24 años (103)",510,484,,380,93,8,,3,,,26,608
"De 25 a 29 años (104)",693,668,1,382,219,47,17,2,,,25,1044
"De 30 a 34 años (105)",839,825,1,355,282,117,67,1,1,1,14,1576
"De 35 a 39 años (106)",857,848,1,247,293,168,120,18,,1,9,1978
"De 40 a 44 años (107)",879,863,1,190,228,213,180,42,7,2,16,2420
"De 45 a 49 años (108)",725,718,,124,185,151,189,59,10,,7,2224
"De 50 y más años (109)",2051,2036,,244,359,356,578,310,153,36,15,8278
"Casado(a) (110)",34994,34457,50,5303,8991,7526,7578,3213,1300,496,537,115836
"De 12 a 14 años (111)",7,2,,1,1,,,,,,5,3
"De 15 a 19 años (112)",163,117,2,101,11,2,1,,,,46,133
"De 20 a 24 años (113)",1015,921,1,689,191,35,4,1,,,94,1200
"De 25 a 29 años (114)",2287,2164,5,1110,745,238,56,9,1,,123,3614
"De 30 a 34 años (115)",3633,3559,2,1034,1589,657,245,27,4,1,74,7427
"De 35 a 39 años (116)",4432,4370,6,694,1799,1194,605,59,11,2,62,10924
"De 40 a 44 años (117)",4728,4692,5,462,1604,1432,994,170,24,1,36,13529
"De 45 a 49 años (118)",4276,4250,2,344,1142,1233,1152,302,65,10,26,13882
"De 50 y más años (119)",14453,14382,27,868,1909,2735,4521,2645,1195,482,71,65124
"Viudo(a) (120)",6200,6106,15,423,736,910,1720,1263,716,323,94,29992
"De 15 a 19 años (122)",7,4,,2,1,,1,,,,3,8
"De 20 a 24 años (123)",15,14,,8,2,2,,2,,,1,30
"De 25 a 29 años (124)",42,41,,17,16,4,3,1,,,1,79
"De 30 a 34 años (125)",64,61,1,20,18,13,6,2,1,,3,142
"De 35 a 39 años (126)",121,117,,14,39,26,31,7,,,4,353
"De 40 a 44 años (127)",196,193,,28,49,55,43,10,7,1,3,613
"De 45 a 49 años (128)",272,267,,23,55,77,76,30,6,,5,936
"De 50 y más años (129)",5483,5409,14,311,556,733,1560,1211,702,322,74,27831
"Divorciado(a) (130)",807,776,2,166,223,155,144,60,23,3,31,2324
"De 15 a 19 años (132)",3,,,,,,,,,,3,
"De 20 a 24 años (133)",11,3,,3,,,,,,,8,3
"De 25 a 29 años (134)",24,20,,11,5,4,,,,,4,33
"De 30 a 34 años (135)",48,45,,29,9,6,1,,,,3,70
"De 35 a 39 años (136)",94,91,1,29,37,18,5,1,,,3,186
"De 40 a 44 años (137)",93,90,,19,38,21,9,2,1,,3,219
"De 45 a 49 años (138)",115,113,,20,36,22,26,9,,,2,327
"De 50 y más años (139)",419,414,1,55,98,84,103,48,22,3,5,1486
"Soltero(a) (140)",15563,6397,28,3990,1447,638,294,,,,9166,9974
"De 12 a 14 años (141)",19,17,1,14,2,,,,,,2,18
"De 15 a 19 años (142)",246,245,,230,10,1,4,,,,1,269
"De 20 a 24 años (143)",3757,834,5,721,91,15,2,,,,2923,956
"De 25 a 29 años (144)",3634,953,3,704,192,45,9,,,,2681,1259
"De 30 a 34 años (145)",2119,921,1,604,210,83,23,,,,1198,1365
"De 35 a 39 años (146)",1566,859,2,481,226,103,47,,,,707,1430
"De 40 a 44 años (147)",1139,663,1,338,198,86,40,,,,476,1152
"De 45 a 49 años (148)",936,578,4,291,160,82,41,,,,358,1021
"De 50 y más años (149)",2147,1327,11,607,358,223,128,,,,820,2504
,,,,,,,,,,,,
"RURAL (160)",8055,7130,8,1722,1606,1108,1348,780,392,166,925,24376
"De 12 a 14 años (161)",7,1,,,1,,,,,,6,2
"De 15 a 19 años (162)",212,168,1,148,15,3,1,,,,44,191
"De 20 a 24 años (163)",974,698,1,506,167,22,2,,,,276,914
"De 25 a 29 años (164)",1092,865,1,396,343,95,30,,,,227,1495
"De 30 a 34 años (165)",952,840,,221,332,197,81,8,1,,112,1873
"De 35 a 39 años (166)",892,819,,146,275,215,150,29,4,,73,2201
"De 40 a 44 años (167)",771,714,1,78,161,170,224,70,7,3,57,2429
"De 45 a 49 años (168)",611,572,,54,88,122,188,85,31,4,39,2268
"De 50 y más años (169)",2544,2453,4,173,224,284,672,588,349,159,91,13003
"Conviviente (170)",2662,2540,2,819,705,407,364,158,60,25,122,6849
"De 12 a 14 años (171)",4,,,,,,,,,,4,
"De 15 a 19 años (172)",164,123,1,110,11,,1,,,,41,136
"De 20 a 24 años (173)",524,477,1,324,132,19,1,,,,47,649
"De 25 a 29 años (174)",519,501,,204,214,62,21,,,,18,908
"De 30 a 34 años (175)",420,415,,85,160,113,52,5,,,5,993
"De 35 a 39 años (176)",342,339,,46,107,86,80,18,2,,3,991
"De 40 a 44 años (177)",230,230,,21,38,56,84,26,3,2,,849
"De 45 a 49 años (178)",141,138,,9,16,25,48,26,11,3,3,627
"De 50 y más años (179)",318,317,,20,27,46,77,83,44,20,1,1696
"Separado(a) (180)",614,606,,220,134,78,105,37,25,7,8,1706
"De 15 a 19 años (182)",14,14,,14,,,,,,,,14
"De 20 a 24 años (183)",52,51,,47,4,,,,,,1,55
"De 25 a 29 años (184)",72,69,,42,19,6,2,,,,3,106
"De 30 a 34 años (185)",82,81,,37,31,9,3,1,,,1,145
"De 35 a 39 años (186)",67,67,,24,24,12,7,,,,,137
"De 40 a 44 años (187)",73,72,,18,14,12,24,4,,,1,212
"De 45 a 49 años (188)",60,59,,7,8,13,18,11,2,,1,227
