"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia JULCAN (000)",11317,34556,31078,,710,89.9,2.1
"De 12 a 14 años (001)",1352,3,2,,1,66.7,33.3
"De 15 a 19 años (002)",1506,288,283,89,98.3,30.9,
"De 20 a 24 años (003)",1253,1447,1403,193,97,13.3,
"De 25 a 29 años (004)",1066,2271,2194,156,96.6,6.9,
"De 30 a 34 años (005)",1026,2958,2855,129,96.5,4.4,
"De 35 a 39 años (006)",1035,4099,3907,95,95.3,2.3,
"De 40 a 44 años (007)",842,3769,3539,39,93.9,1,
"De 45 a 49 años (008)",671,3664,3364,8,91.8,0.2,
"De 50 y más años (009)",2566,16057,13531,,84.3,,
"Sin nivel (010)",3252,17483,15007,140,85.8,0.8,
"De 12 a 14 años (011)",57,1,1,1,100,100,
"De 15 a 19 años (012)",73,20,20,7,100,35,
"De 20 a 24 años (013)",114,170,164,18,96.5,10.6,
"De 25 a 29 años (014)",144,364,346,23,95.1,6.3,
"De 30 a 34 años (015)",241,806,774,42,96,5.2,
"De 35 a 39 años (016)",287,1336,1256,30,94,2.2,
"De 40 a 44 años (017)",290,1386,1290,15,93.1,1.1,
"De 45 a 49 años (018)",270,1657,1476,4,89.1,0.2,
"De 50 y más años (019)",1776,11743,9680,,82.4,,
"Educacion Inicial (020)",26,53,53,1,100,1.9,
"De 15 a 19 años (022)",8,6,6,,100,,
"De 20 a 24 años (023)",4,7,7,1,100,14.3,
"De 25 a 29 años (024)",8,16,16,,100,,
"De 30 a 34 años (025)",3,13,13,,100,,
"De 35 a 39 años (026)",3,11,11,,100,,
"Primaria (030)",5716,14225,13308,449,93.6,3.2,
"De 12 a 14 años (031)",875,1,1,,100,,
"De 15 a 19 años (032)",783,175,171,59,97.7,33.7,
"De 20 a 24 años (033)",758,951,915,134,96.2,14.1,
"De 25 a 29 años (034)",645,1474,1424,106,96.6,7.2,
"De 30 a 34 años (035)",606,1774,1713,71,96.6,4,
"De 35 a 39 años (036)",595,2325,2229,54,95.9,2.3,
"De 40 a 44 años (037)",444,2008,1893,22,94.3,1.1,
"De 45 a 49 años (038)",331,1728,1618,3,93.6,0.2,
"De 50 y más años (039)",679,3789,3344,,88.3,,
"Secundaria (040)",1887,2026,1965,94,97,4.6,
