"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JAEN (000)",62184,1538,21921,21322,13881,3522
"Agric., ganadería, caza y silvicultura (001)",31610,869,11147,9580,7307,2707
"Pesca (002)",7,,2,4,1,
"Explotación de minas y canteras (003)",66,,18,24,23,1
"Industrias manufactureras (004)",2269,62,787,784,539,97
"Suministro de electricidad, gas y agua (005)",88,,28,38,22,
"Construcción (006)",2193,29,718,801,568,77
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7418,304,2499,2721,1635,259
"Venta, mant.y rep. veh.autom.y motoc. (008)",941,30,438,326,133,14
"Comercio al por mayor (009)",386,9,157,153,63,4
"Comercio al por menor (010)",6091,265,1904,2242,1439,241
"Hoteles y restaurantes (011)",1824,98,670,587,412,57
"Trans., almac. y comunicaciones (012)",4093,44,1951,1463,592,43
"Intermediación financiera (013)",136,,78,47,11,
"Activid.inmobil., empres. y alquileres (014)",1334,3,541,545,232,13
"Admin.pub. y defensa; p. segur.soc.afil (015)",1043,,246,483,298,16
"Enseñanza (016)",3843,,732,2125,966,20
"Servicios sociales y de salud (017)",929,1,315,419,178,16
"Otras activ. serv.comun.soc y personales (018)",1316,30,417,463,338,68
"Hogares privados con servicio doméstico (019)",1460,78,825,319,206,32
"Actividad economica no especificada (021)",2555,20,947,919,553,116
"Hombres (022)",47316,1179,16581,15642,10816,3098
"Agric., ganadería, caza y silvicultura (023)",28480,751,10028,8600,6593,2508
"Pesca (024)",5,,2,3,,
"Explotación de minas y canteras (025)",61,,16,21,23,1
"Industrias manufactureras (026)",1710,53,627,552,392,86
"Suministro de electricidad, gas y agua (027)",78,,26,34,18,
"Construcción (028)",2151,27,698,787,562,77
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4210,223,1440,1422,942,183
"Venta, mant.y rep. veh.autom.y motoc. (030)",847,30,390,293,121,13
"Comercio al por mayor (031)",260,7,103,100,47,3
"Comercio al por menor (032)",3103,186,947,1029,774,167
"Hoteles y restaurantes (033)",670,45,283,178,132,32
"Trans., almac. y comunicaciones (034)",3897,37,1816,1420,583,41
"Intermediación financiera (035)",78,,36,32,10,
"Activid.inmobil., empres. y alquileres (036)",833,1,287,364,170,11
"Admin.pub. y defensa; p. segur.soc.afil (037)",787,,164,370,237,16
"Enseñanza (038)",1777,,287,941,534,15
"Servicios sociales y de salud (039)",403,1,107,175,110,10
