"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PATAZ (000)",24578,75689,67554,,2002,89.3,2.6
"De 12 a 14 años (001)",3041,17,17,,5,100,29.4
"De 15 a 19 años (002)",3448,681,664,211,97.5,31,
"De 20 a 24 años (003)",2706,3245,3137,499,96.7,15.4,
"De 25 a 29 años (004)",2508,5604,5401,430,96.4,7.7,
"De 30 a 34 años (005)",2294,7608,7214,390,94.8,5.1,
"De 35 a 39 años (006)",2206,9680,9111,310,94.1,3.2,
"De 40 a 44 años (007)",1654,8586,7891,118,91.9,1.4,
"De 45 a 49 años (008)",1417,8088,7381,39,91.3,0.5,
"De 50 y más años (009)",5304,32180,26738,,83.1,,
"Conviviente (010)",8284,29150,26782,1385,91.9,4.8,
"De 12 a 14 años (011)",28,11,11,3,100,27.3,
"De 15 a 19 años (012)",627,485,474,149,97.7,30.7,
"De 20 a 24 años (013)",1496,2454,2366,389,96.4,15.9,
"De 25 a 29 años (014)",1594,4112,3960,330,96.3,8,
"De 30 a 34 años (015)",1300,4621,4385,252,94.9,5.5,
"De 35 a 39 años (016)",1117,5112,4781,188,93.5,3.7,
"De 40 a 44 años (017)",651,3513,3188,56,90.7,1.6,
"De 45 a 49 años (018)",481,2786,2574,18,92.4,0.6,
"De 50 y más años (019)",990,6056,5043,,83.3,,
"Separado(a) (020)",1022,3277,2946,77,89.9,2.3,
"De 15 a 19 años (022)",46,50,49,13,98,26,
"De 20 a 24 años (023)",136,167,164,27,98.2,16.2,
"De 25 a 29 años (024)",124,239,230,15,96.2,6.3,
"De 30 a 34 años (025)",115,290,273,14,94.1,4.8,
"De 35 a 39 años (026)",117,397,372,4,93.7,1,
"De 40 a 44 años (027)",103,437,403,4,92.2,0.9,
"De 45 a 49 años (028)",84,351,319,,90.9,,
"De 50 y más años (029)",297,1346,1136,,84.4,,
"Casado(a) (030)",5550,30878,27576,410,89.3,1.3,
"De 12 a 14 años (031)",4,2,2,,100,,
"De 15 a 19 años (032)",36,33,32,6,97,18.2,
"De 20 a 24 años (033)",179,313,309,39,98.7,12.5,
"De 25 a 29 años (034)",357,969,941,74,97.1,7.6,
"De 30 a 34 años (035)",600,2296,2167,108,94.4,4.7,
"De 35 a 39 años (036)",773,3674,3490,106,95,2.9,
"De 40 a 44 años (037)",714,4092,3809,57,93.1,1.4,
