"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JAEN (000)",45065,42500,198,9026,8203,6454,8499,5287,3193,1640,2565,161142
"De 12 a 14 años (001)",87,33,2,29,2,,,,,,54,33
"De 15 a 19 años (002)",1756,1483,26,1221,210,19,7,,,,273,1726
"De 20 a 24 años (003)",5417,4552,33,2703,1320,387,103,6,,,865,6975
"De 25 a 29 años (004)",6218,5627,23,1987,1964,1034,549,63,7,,591,11799
"De 30 a 34 años (005)",5966,5688,16,1217,1597,1335,1197,278,45,3,278,15783
"De 35 a 39 años (006)",5738,5572,21,692,1215,1201,1620,627,169,27,166,19529
"De 40 a 44 años (007)",4822,4706,12,368,741,918,1421,771,362,113,116,20089
"De 45 a 49 años (008)",3938,3872,14,260,484,584,1095,803,423,209,66,18868
"De 50 y más años (009)",11123,10967,51,549,670,976,2507,2739,2187,1288,156,66340
"Sin nivel (010)",8076,7814,42,503,590,710,1757,1874,1512,826,262,45615
"De 12 a 14 años (011)",4,2,,2,,,,,,,2,2
"De 15 a 19 años (012)",69,55,1,35,15,2,2,,,,14,79
"De 20 a 24 años (013)",228,193,2,65,67,34,22,3,,,35,412
"De 25 a 29 años (014)",320,289,2,55,79,73,65,13,2,,31,812
"De 30 a 34 años (015)",381,352,1,33,50,72,121,61,13,1,29,1389
"De 35 a 39 años (016)",593,564,2,48,60,79,177,127,58,13,29,2649
"De 40 a 44 años (017)",672,648,2,29,43,61,195,162,118,38,24,3628
"De 45 a 49 años (018)",681,665,1,35,33,48,148,186,138,76,16,4110
"De 50 y más años (019)",5128,5046,31,201,243,341,1027,1322,1183,698,82,32534
"Educacion Inicial (020)",57,50,,10,9,9,15,7,,,7,161
