"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia VILCAS HUAMAN (000)",5803,773,1029,2918,34,1019,30
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",26,26,,,,,
"Profes., científicos e intelectuales (002)",520,444,,73,,3,
"Técnicos de nivel medio y trab. asimilados (003)",67,48,,18,1,,
"Jefes y empleados de oficina (004)",105,105,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",316,30,7,236,1,42,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",2237,1,,2217,19,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",149,,40,91,5,13,
"Obreros construc.,conf., papel, fab., instr. (008)",199,18,76,89,5,11,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",1812,41,829,63,1,848,30
"Otra (010)",9,9,,,,,
"Ocupación no especificada (011)",363,51,77,131,2,102,
"Hombres (012)",4430,536,819,2376,31,663,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",21,21,,,,,
"Profes., científicos e intelectuales (014)",337,301,,35,,1,
"Técnicos de nivel medio y trab. asimilados (015)",52,36,,15,1,,
"Jefes y empleados de oficina (016)",79,79,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",97,12,2,75,,8,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",2031,1,,2013,17,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",134,,36,82,5,11,
"Obreros construc.,conf., papel, fab., instr. (020)",192,18,73,85,5,11,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1297,27,657,19,1,588,5
"Otra (022)",9,9,,,,,
"Ocupación no especificada (023)",181,32,51,52,2,44,
"Mujeres (024)",1373,237,210,542,3,356,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,5,,,,,
"Profes., científicos e intelectuales (026)",183,143,,38,,2,
"Técnicos de nivel medio y trab. asimilados (027)",15,12,,3,,,
"Jefes y empleados de oficina (028)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",219,18,5,161,1,34,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",206,,,204,2,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",15,,4,9,,2,
"Obreros construc.,conf., papel, fab., instr. (032)",7,,3,4,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",515,14,172,44,,260,25
"Ocupación no especificada (035)",182,19,26,79,,58,
,,,,,,,
"URBANA (036)",2170,580,341,988,12,233,16
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",17,17,,,,,
"Profes., científicos e intelectuales (038)",365,331,,33,,1,
"Técnicos de nivel medio y trab. asimilados (039)",49,36,,12,1,,
"Jefes y empleados de oficina (040)",84,84,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",226,21,4,168,1,32,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",587,,,581,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",76,,17,51,1,7,
"Obreros construc.,conf., papel, fab., instr. (044)",86,13,24,45,1,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",505,29,260,37,,163,16
"Otra (046)",8,8,,,,,
"Ocupación no especificada (047)",167,41,36,61,2,27,
"Hombres (048)",1514,384,269,721,11,125,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,13,,,,,
"Profes., científicos e intelectuales (050)",224,211,,13,,,
"Técnicos de nivel medio y trab. asimilados (051)",37,27,,9,1,,
"Jefes y empleados de oficina (052)",64,64,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",68,8,2,53,,5,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",529,,,523,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",66,,14,46,1,5,
"Obreros construc.,conf., papel, fab., instr. (056)",80,13,22,41,1,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",338,16,206,8,,104,4
"Otra (058)",8,8,,,,,
"Ocupación no especificada (059)",87,24,25,28,2,8,
"Mujeres (060)",656,196,72,267,1,108,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,4,,,,,
"Profes., científicos e intelectuales (062)",141,120,,20,,1,
"Técnicos de nivel medio y trab. asimilados (063)",12,9,,3,,,
"Jefes y empleados de oficina (064)",20,20,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",158,13,2,115,1,27,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",58,,,58,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",10,,3,5,,2,
"Obreros construc.,conf., papel, fab., instr. (068)",6,,2,4,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",167,13,54,29,,59,12
"Ocupación no especificada (071)",80,17,11,33,,19,
,,,,,,,
"RURAL (072)",3633,193,688,1930,22,786,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,9,,,,,
"Profes., científicos e intelectuales (074)",155,113,,40,,2,
"Técnicos de nivel medio y trab. asimilados (075)",18,12,,6,,,
"Jefes y empleados de oficina (076)",21,21,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",90,9,3,68,,10,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1650,1,,1636,13,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",73,,23,40,4,6,
"Obreros construc.,conf., papel, fab., instr. (080)",113,5,52,44,4,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",1307,12,569,26,1,685,14
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",196,10,41,70,,75,
"Hombres (084)",2916,152,550,1655,20,538,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,8,,,,,
"Profes., científicos e intelectuales (086)",113,90,,22,,1,
"Técnicos de nivel medio y trab. asimilados (087)",15,9,,6,,,
"Jefes y empleados de oficina (088)",15,15,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",29,4,,22,,3,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1502,1,,1490,11,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",68,,22,36,4,6,
"Obreros construc.,conf., papel, fab., instr. (092)",112,5,51,44,4,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",959,11,451,11,1,484,1
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",94,8,26,24,,36,
"Mujeres (096)",717,41,138,275,2,248,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",42,23,,18,,1,
"Técnicos de nivel medio y trab. asimilados (099)",3,3,,,,,
"Jefes y empleados de oficina (100)",6,6,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",61,5,3,46,,7,
