"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MORROPON (000)",47136,5877,61,19812,13961,1708,2704,914,2099
"Agric., ganadería, caza y silvicultura (001)",25300,4265,38,13454,6427,374,379,154,209
"Pesca (002)",84,7,,24,36,3,6,4,4
"Explotación de minas y canteras (003)",23,,,5,8,4,1,3,2
"Industrias manufactureras (004)",2435,217,1,995,890,113,119,43,57
"Suministro de electricidad, gas y agua (005)",103,15,,30,29,6,12,3,8
"Construcción (006)",1589,115,3,603,638,73,70,29,58
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6290,491,3,2134,2406,367,479,186,224
"Venta, mant.y rep. veh.autom.y motoc. (008)",377,13,,69,175,36,44,20,20
"Comercio al por mayor (009)",277,19,1,87,104,15,26,9,16
"Comercio al por menor (010)",5636,459,2,1978,2127,316,409,157,188
"Hoteles y restaurantes (011)",1277,175,6,525,382,67,57,28,37
"Trans., almac. y comunicaciones (012)",2639,99,3,634,1419,167,141,91,85
"Intermediación financiera (013)",51,,,2,6,,16,9,18
"Activid.inmobil., empres. y de alquiler (014)",698,23,,83,223,75,117,48,129
"Admin.pub. y defensa; p. segur.soc.afil (015)",914,17,,96,258,75,255,51,162
"Enseñanza (016)",1921,3,,3,148,173,649,164,781
"Servicios sociales y de salud (017)",473,7,,13,48,38,190,13,164
"Otras activ. serv.comun.soc y personales (018)",768,70,2,215,273,63,56,29,60
"Hogares privados con servicio doméstico (019)",823,93,4,351,287,33,25,18,12
"Organiz. y organos extraterritoriales (020)",1,,,,,,,,1
"Actividad economica no especificada (021)",1747,280,1,645,483,77,132,41,88
"Hombres (022)",36566,4542,45,16268,11329,1107,1497,587,1191
"Agric., ganadería, caza y silvicultura (023)",23416,3750,34,12502,6092,346,360,138,194
"Pesca (024)",78,7,,22,33,2,6,4,4
"Explotación de minas y canteras (025)",22,,,5,8,4,1,3,1
"Industrias manufactureras (026)",1817,137,1,734,719,80,73,29,44
"Suministro de electricidad, gas y agua (027)",92,15,,26,28,6,8,2,7
"Construcción (028)",1543,109,3,587,620,70,68,28,58
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3517,252,2,1157,1437,185,241,119,124
"Venta, mant.y rep. veh.autom.y motoc. (030)",352,13,,66,165,34,38,19,17
"Comercio al por mayor (031)",171,5,1,57,71,9,16,5,7
"Comercio al por menor (032)",2994,234,1,1034,1201,142,187,95,100
"Hoteles y restaurantes (033)",189,16,,60,74,11,6,16,6
"Trans., almac. y comunicaciones (034)",2566,96,3,626,1390,155,128,86,82
"Intermediación financiera (035)",32,,,2,3,,9,5,13
"Activid.inmobil., empres. y de alquiler (036)",504,20,,74,183,47,62,34,84
"Admin.pub. y defensa; p. segur.soc.afil (037)",609,12,,79,193,50,137,29,109
"Enseñanza (038)",726,2,,2,53,49,249,58,313
"Servicios sociales y de salud (039)",208,3,,6,34,20,76,3,66
"Otras activ. serv.comun.soc y personales (040)",500,43,2,120,198,45,30,19,43
"Hogares privados con servicio doméstico (041)",31,4,,13,10,1,1,1,1
