"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUCANAS (000)",23580,18693,2541,1288,1058
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",69,,8,6,55
"Profes., científicos e intelectuales (002)",2150,635,726,573,216
"Técnicos de nivel medio y trab. asimilados (003)",508,260,52,48,148
"Jefes y empleados de oficina (004)",422,78,54,68,222
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2260,2122,104,16,18
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7155,6912,237,3,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2415,1549,546,223,97
"Obreros construc.,conf.,papel, fab., instr. (008)",932,708,116,59,49
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6869,5818,610,261,180
"Otra (010)",59,,,,59
"Ocupación no especificada (011)",741,611,88,31,11
"Hombres (012)",16090,12517,1896,934,743
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",52,,1,6,45
"Profes., científicos e intelectuales (014)",1108,280,398,320,110
"Técnicos de nivel medio y trab. asimilados (015)",342,183,43,38,78
"Jefes y empleados de oficina (016)",258,37,31,38,152
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",804,729,55,14,6
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5769,5577,187,3,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2185,1387,516,199,83
"Obreros construc.,conf.,papel, fab., instr. (020)",915,696,114,57,48
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4210,3334,488,238,150
"Otra (022)",59,,,,59
"Ocupación no especificada (023)",388,294,63,21,10
"Mujeres (024)",7490,6176,645,354,315
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,,7,,10
"Profes., científicos e intelectuales (026)",1042,355,328,253,106
"Técnicos de nivel medio y trab. asimilados (027)",166,77,9,10,70
"Jefes y empleados de oficina (028)",164,41,23,30,70
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1456,1393,49,2,12
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1386,1335,50,,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",230,162,30,24,14
"Obreros construc.,conf.,papel, fab., instr. (032)",17,12,2,2,1
