"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUMBIVILCAS (000)",75104,17041,58063
"Casa independiente (001)",65685,16211,49474
"Departamento en edificio (002)",28,28,
"Vivienda en quinta (003)",73,73,
"Vivienda en casa de vecindad (004)",671,671,
"Choza o cabaña (005)",8576,,8576
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",58,49,9
"Otro tipo (008)",4,,4
