"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SATIPO (000)",178656,10724,26050,24565,21050,36744,24934,29634,4955
"Sabe leer y escribir (001)",145701,,17635,24048,20491,34858,22497,23441,2731
"No sabe leer y escribir (002)",32955,10724,8415,517,559,1886,2437,6193,2224
"Hombres (004)",96093,5505,13224,12922,11374,19971,13345,16787,2965
"Sabe leer y escribir (005)",81437,,8862,12664,11142,19316,12593,14807,2053
"No sabe leer y escribir (006)",14656,5505,4362,258,232,655,752,1980,912
"Mujeres (008)",82563,5219,12826,11643,9676,16773,11589,12847,1990
"Sabe leer y escribir (009)",64264,,8773,11384,9349,15542,9904,8634,678
"No sabe leer y escribir (010)",18299,5219,4053,259,327,1231,1685,4213,1312
,,,,,,,,,
"URBANA (012)",50236,2240,6060,6737,6170,10127,7674,9675,1553
"Sabe leer y escribir (013)",44701,,4657,6675,6130,9996,7431,8750,1062
"No sabe leer y escribir (014)",5535,2240,1403,62,40,131,243,925,491
"Hombres (016)",25781,1188,2990,3421,3151,5170,3747,5266,848
"Sabe leer y escribir (017)",23428,,2271,3393,3135,5129,3707,5081,712
"No sabe leer y escribir (018)",2353,1188,719,28,16,41,40,185,136
"Mujeres (020)",24455,1052,3070,3316,3019,4957,3927,4409,705
"Sabe leer y escribir (021)",21273,,2386,3282,2995,4867,3724,3669,350
"No sabe leer y escribir (022)",3182,1052,684,34,24,90,203,740,355
,,,,,,,,,
"RURAL (024)",128420,8484,19990,17828,14880,26617,17260,19959,3402
"Sabe leer y escribir (025)",101000,,12978,17373,14361,24862,15066,14691,1669
"No sabe leer y escribir (026)",27420,8484,7012,455,519,1755,2194,5268,1733
"Hombres (028)",70312,4317,10234,9501,8223,14801,9598,11521,2117
"Sabe leer y escribir (029)",58009,,6591,9271,8007,14187,8886,9726,1341
"No sabe leer y escribir (030)",12303,4317,3643,230,216,614,712,1795,776
"Mujeres (032)",58108,4167,9756,8327,6657,11816,7662,8438,1285
"Sabe leer y escribir (033)",42991,,6387,8102,6354,10675,6180,4965,328
"No sabe leer y escribir (034)",15117,4167,3369,225,303,1141,1482,3473,957
