"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARI (000)",15743,9704,1886,1887,2266
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",54,,10,5,39
"Profes., científicos e intelectuales (002)",1487,425,472,425,165
"Técnicos de nivel medio y trab. asimilados (003)",636,164,69,139,264
"Jefes y empleados de oficina (004)",608,69,66,94,379
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",996,823,50,28,95
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3943,3757,185,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1116,372,106,250,388
"Obreros construc.,conf.,papel, fab., instr. (008)",1075,354,172,236,313
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5153,3200,701,684,568
"Otra (010)",45,,,,45
"Ocupación no especificada (011)",630,540,55,25,10
"Hombres (012)",12904,7731,1556,1641,1976
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",44,,6,5,33
"Profes., científicos e intelectuales (014)",914,224,297,281,112
"Técnicos de nivel medio y trab. asimilados (015)",509,123,56,118,212
"Jefes y empleados de oficina (016)",421,35,41,69,276
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",463,338,26,24,75
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3776,3596,179,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1077,347,100,247,383
"Obreros construc.,conf.,papel, fab., instr. (020)",1054,343,171,231,309
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4351,2528,648,647,528
"Otra (022)",43,,,,43
"Ocupación no especificada (023)",252,197,32,18,5
"Mujeres (024)",2839,1973,330,246,290
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",10,,4,,6
"Profes., científicos e intelectuales (026)",573,201,175,144,53
"Técnicos de nivel medio y trab. asimilados (027)",127,41,13,21,52
"Jefes y empleados de oficina (028)",187,34,25,25,103
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",533,485,24,4,20
"Agricult.trabaj.calif.agrop.y pesqueros (030)",167,161,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",39,25,6,3,5
"Obreros construc.,conf.,papel, fab., instr. (032)",21,11,1,5,4
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",802,672,53,37,40
