"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",8321,26976,23378,,480,86.7,1.8
"De 12 a 14 años (001)",917,,,,,,
"De 15 a 19 años (002)",1158,147,145,47,98.6,32,
"De 20 a 24 años (003)",902,938,909,136,96.9,14.5,
"De 25 a 29 años (004)",704,1472,1416,100,96.2,6.8,
"De 30 a 34 años (005)",711,2289,2145,87,93.7,3.8,
"De 35 a 39 años (006)",610,2637,2425,62,92,2.4,
"De 40 a 44 años (007)",548,2863,2596,34,90.7,1.2,
"De 45 a 49 años (008)",512,3141,2771,14,88.2,0.4,
"De 50 y más años (009)",2259,13489,10971,,81.3,,
"Conviviente (010)",2323,7969,7215,316,90.5,4,
"De 12 a 14 años (011)",13,,,,,,
"De 15 a 19 años (012)",143,104,102,34,98.1,32.7,
"De 20 a 24 años (013)",435,658,635,100,96.5,15.2,
"De 25 a 29 años (014)",408,939,906,65,96.5,6.9,
"De 30 a 34 años (015)",365,1228,1153,55,93.9,4.5,
"De 35 a 39 años (016)",270,1142,1077,33,94.3,2.9,
"De 40 a 44 años (017)",201,1062,982,24,92.5,2.3,
"De 45 a 49 años (018)",136,807,715,5,88.6,0.6,
"De 50 y más años (019)",352,2029,1645,,81.1,,
"Separado(a) (020)",394,1042,971,33,93.2,3.2,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",25,25,25,7,100,28,
"De 20 a 24 años (023)",59,75,74,11,98.7,14.7,
"De 25 a 29 años (024)",51,83,81,9,97.6,10.8,
"De 30 a 34 años (025)",60,136,135,1,99.3,0.7,
"De 35 a 39 años (026)",39,115,110,4,95.7,3.5,
"De 40 a 44 años (027)",38,137,124,1,90.5,0.7,
"De 45 a 49 años (028)",25,98,91,,92.9,,
"De 50 y más años (029)",96,373,331,,88.7,,
"Casado(a) (030)",2289,13003,11215,109,86.2,0.8,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",10,8,8,3,100,37.5,
"De 20 a 24 años (033)",83,152,148,17,97.4,11.2,
"De 25 a 29 años (034)",144,395,375,25,94.9,6.3,
"De 30 a 34 años (035)",223,852,788,28,92.5,3.3,
"De 35 a 39 años (036)",242,1224,1103,21,90.1,1.7,
"De 40 a 44 años (037)",257,1464,1313,8,89.7,0.5,
