"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AREQUIPA (000)",854493,833685,20808
"Casa independiente (001)",796542,777704,18838
"Departamento en edificio (002)",27236,27236,
"Vivienda en quinta (003)",13069,13069,
"Vivienda en casa de vecindad (004)",12429,12429,
"Choza o cabaña (005)",1944,,1944
"Vivienda improvisada (006)",2133,2133,
"Local no dest.para hab. humana (007)",985,972,13
"Otro tipo (008)",155,142,13
